Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-1542.2	3092.4	6436.22	487.51	0.1366,0.4879,1.2578,2.7313
sym_mig	Round_1_Replicate_2	-682.47	1372.94	878.16	270.51	0.5814,0.4215,0.2844,3.4793
sym_mig	Round_1_Replicate_3	-5874.1	11756.2	329091479.39	252.23	2.9147,1.3269,0.2936,0.1557
sym_mig	Round_1_Replicate_4	-1251.3	2510.6	4256.2	236.84	0.5421,0.8894,0.4621,1.8601
sym_mig	Round_1_Replicate_5	-3253.87	6515.74	511752.46	167.09	7.8122,1.3501,0.0294,0.5052
sym_mig	Round_1_Replicate_6	-687.24	1382.48	959.42	228.58	0.9661,0.6293,0.0562,1.5668
sym_mig	Round_1_Replicate_7	-647.13	1302.26	947.17	445.33	0.3939,0.237,0.1849,0.6501
sym_mig	Round_1_Replicate_8	-1978.69	3965.38	8956.16	362.29	0.0427,0.7916,0.5797,2.0403
sym_mig	Round_1_Replicate_9	-2903.92	5815.84	174028.71	246.3	0.3996,3.0249,0.1627,0.1895
sym_mig	Round_1_Replicate_10	-2008.5	4025.0	9442.04	439.34	0.0321,0.4997,0.9304,0.099
sym_mig	Round_2_Replicate_1	-631.99	1271.98	940.8	470.75	0.3031,0.2552,0.0786,0.4279
sym_mig	Round_2_Replicate_2	-1079.34	2166.68	2504.51	352.97	0.1724,0.6943,0.0784,0.7164
sym_mig	Round_2_Replicate_3	-743.99	1495.98	1018.37	221.16	0.9093,0.5612,0.2267,2.5789
sym_mig	Round_2_Replicate_4	-662.01	1332.02	959.19	397.27	0.3639,0.3215,0.1618,1.0875
sym_mig	Round_2_Replicate_5	-762.22	1532.44	1062.26	292.23	0.873,0.4535,0.0885,0.73
sym_mig	Round_2_Replicate_6	-637.65	1283.3	810.79	465.81	0.3545,0.2313,0.2875,0.4492
sym_mig	Round_2_Replicate_7	-862.82	1733.64	1504.24	395.66	0.6222,0.2255,0.3247,0.4135
sym_mig	Round_2_Replicate_8	-666.42	1340.84	762.03	394.6	0.3229,0.4223,0.2105,0.6061
sym_mig	Round_2_Replicate_9	-691.44	1390.88	1117.31	261.08	0.6816,0.3812,0.1233,2.555
sym_mig	Round_2_Replicate_10	-645.72	1299.44	758.74	225.7	0.7562,0.7119,0.0996,1.9599
sym_mig	Round_3_Replicate_1	-610.92	1229.84	738.21	455.55	0.324,0.2742,0.2154,0.5271
sym_mig	Round_3_Replicate_2	-630.27	1268.54	771.05	389.0	0.4175,0.3627,0.1088,0.5745
sym_mig	Round_3_Replicate_3	-699.16	1406.32	1229.29	392.75	0.3725,0.3616,0.0674,0.7928
sym_mig	Round_3_Replicate_4	-628.29	1264.58	827.09	451.11	0.3117,0.2818,0.0619,0.3665
sym_mig	Round_3_Replicate_5	-619.71	1247.42	883.31	516.43	0.2363,0.2061,0.0397,0.268
sym_mig	Round_3_Replicate_6	-640.49	1288.98	826.48	461.57	0.2729,0.2975,0.2252,0.7007
sym_mig	Round_3_Replicate_7	-638.37	1284.74	909.11	431.72	0.3631,0.291,0.0562,0.4347
sym_mig	Round_3_Replicate_8	-622.68	1253.36	740.85	410.18	0.3991,0.3191,0.1691,0.558
sym_mig	Round_3_Replicate_9	-646.98	1301.96	894.03	377.05	0.4602,0.3641,0.0694,0.6131
sym_mig	Round_3_Replicate_10	-615.48	1238.96	757.96	437.53	0.336,0.3001,0.1873,0.6074
sym_mig	Round_3_Replicate_11	-661.96	1331.92	963.72	382.96	0.4746,0.3408,0.0498,0.5414
sym_mig	Round_3_Replicate_12	-614.27	1236.54	794.24	462.73	0.3169,0.2647,0.1786,0.5358
sym_mig	Round_3_Replicate_13	-638.87	1285.74	832.44	398.7	0.4278,0.3295,0.0825,0.5088
sym_mig	Round_3_Replicate_14	-649.41	1306.82	921.62	396.12	0.4324,0.3324,0.0573,0.5218
sym_mig	Round_3_Replicate_15	-628.16	1264.32	889.06	471.01	0.2786,0.2701,0.0667,0.3857
sym_mig	Round_3_Replicate_16	-614.0	1236.0	750.11	436.77	0.348,0.2934,0.194,0.5896
sym_mig	Round_3_Replicate_17	-617.55	1243.1	830.21	504.96	0.2329,0.2328,0.0626,0.2933
sym_mig	Round_3_Replicate_18	-603.27	1214.54	798.93	553.89	0.1999,0.1701,0.0909,0.2198
sym_mig	Round_3_Replicate_19	-667.87	1343.74	858.15	391.98	0.3852,0.3831,0.0456,0.4292
sym_mig	Round_3_Replicate_20	-613.32	1234.64	763.12	455.0	0.3155,0.2759,0.1218,0.4117
