Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-7466.38	14940.76	11945039880.7	147.69	3.3808,1.9935,1.8827,0.7474
sym_mig	Round_1_Replicate_2	-5505.49	11018.98	166921956.65	289.56	0.6371,0.9938,3.2839,0.2053
sym_mig	Round_1_Replicate_3	-1983.87	3975.74	26693.34	309.17	1.0891,0.2224,1.2829,4.045
sym_mig	Round_1_Replicate_4	-2005.56	4019.12	11542.37	294.71	7.9502,0.1565,0.3996,0.21
sym_mig	Round_1_Replicate_5	-1227.22	2462.44	2391.52	199.22	0.3271,1.8522,0.1011,1.149
sym_mig	Round_1_Replicate_6	-5334.07	10676.14	106094438.07	114.71	1.0727,2.6783,1.5791,4.0194
sym_mig	Round_1_Replicate_7	-3965.37	7938.74	3684784.27	205.08	3.8078,0.5636,1.3906,0.6478
sym_mig	Round_1_Replicate_8	-6539.47	13086.94	1966538124.58	135.85	3.0762,1.2364,2.1468,1.7676
sym_mig	Round_1_Replicate_9	-11144.35	22296.7	2.51235416451e+13	92.61	5.9284,2.684,5.1122,1.6934
sym_mig	Round_1_Replicate_10	-8820.87	17649.74	1.38105842645e+11	228.85	4.6386,2.1963,1.6722,0.1615
sym_mig	Round_2_Replicate_1	-811.54	1631.08	1147.69	184.46	0.9617,1.1331,0.1225,1.7918
sym_mig	Round_2_Replicate_2	-913.08	1834.16	1565.05	213.02	0.9046,1.1176,0.0112,0.9398
sym_mig	Round_2_Replicate_3	-713.83	1435.66	1144.97	175.29	1.3077,0.7478,0.039,2.573
sym_mig	Round_2_Replicate_4	-690.78	1389.56	859.54	276.14	0.7695,0.4899,0.179,1.2718
sym_mig	Round_2_Replicate_5	-859.88	1727.76	1376.26	299.91	0.5014,0.6508,0.2795,0.8255
sym_mig	Round_2_Replicate_6	-1465.54	2939.08	3522.66	251.46	0.1953,1.7466,0.0339,0.4703
sym_mig	Round_2_Replicate_7	-1983.65	3975.3	6984.48	116.67	0.706,7.3398,0.0272,0.9529
sym_mig	Round_2_Replicate_8	-645.73	1299.46	811.55	314.97	0.5368,0.4984,0.0928,0.9783
sym_mig	Round_2_Replicate_9	-931.26	1870.52	2275.37	209.04	0.4478,0.9849,0.0315,2.4226
sym_mig	Round_2_Replicate_10	-1259.29	2526.58	2601.73	249.49	0.287,1.5583,0.0113,0.5124
sym_mig	Round_2_Replicate_11	-700.54	1409.08	1185.13	378.31	0.3584,0.4394,0.0321,0.5995
sym_mig	Round_2_Replicate_12	-1112.26	2232.52	2101.31	256.98	0.2992,1.2941,0.0349,0.6568
sym_mig	Round_2_Replicate_13	-994.86	1997.72	1627.18	240.47	0.3469,1.1601,0.1692,1.2435
sym_mig	Round_2_Replicate_14	-1782.27	3572.54	5291.95	204.53	0.2835,3.4011,0.0296,0.4133
sym_mig	Round_2_Replicate_15	-970.23	1948.46	2087.74	159.3	0.496,1.5444,0.0334,3.0664
sym_mig	Round_2_Replicate_16	-895.52	1799.04	1334.69	235.43	0.5146,1.171,0.0438,0.9058
sym_mig	Round_2_Replicate_17	-1316.78	2641.56	3677.5	153.72	1.026,2.4884,0.0256,1.0626
sym_mig	Round_2_Replicate_18	-851.0	1710.0	1251.59	101.63	1.3747,2.6529,0.0222,3.6093
sym_mig	Round_2_Replicate_19	-818.32	1644.64	1071.69	164.91	0.7808,1.5195,0.0815,2.1642
sym_mig	Round_2_Replicate_20	-856.94	1721.88	1214.74	202.94	0.5272,1.1283,0.1737,2.2003
sym_mig	Round_3_Replicate_1	-672.41	1352.82	854.48	251.19	0.8708,0.5659,0.0845,1.3425
sym_mig	Round_3_Replicate_2	-614.99	1237.98	752.68	433.17	0.3457,0.3023,0.1862,0.6065
sym_mig	Round_3_Replicate_3	-750.77	1509.54	1149.37	240.75	0.7046,0.8448,0.0277,1.1193
sym_mig	Round_3_Replicate_4	-639.7	1287.4	771.54	312.77	0.5447,0.4949,0.1116,1.0269
sym_mig	Round_3_Replicate_5	-657.52	1323.04	910.65	415.11	0.3323,0.2547,0.3355,2.0249
sym_mig	Round_3_Replicate_6	-664.1	1336.2	826.05	262.08	0.808,0.5443,0.0958,1.2835
sym_mig	Round_3_Replicate_7	-612.02	1232.04	736.82	443.43	0.3398,0.2866,0.1942,0.5298
sym_mig	Round_3_Replicate_8	-769.93	1547.86	1194.89	274.85	0.5809,0.7545,0.0191,0.7977
sym_mig	Round_3_Replicate_9	-637.14	1282.28	763.59	323.13	0.5682,0.4353,0.1422,1.0056
sym_mig	Round_3_Replicate_10	-637.04	1282.08	765.55	329.67	0.5499,0.4356,0.1285,0.914
sym_mig	Round_3_Replicate_11	-627.54	1263.08	746.6	361.72	0.4521,0.3847,0.1849,0.9465
sym_mig	Round_3_Replicate_12	-655.37	1318.74	832.88	317.44	0.6047,0.4616,0.0842,0.8485
sym_mig	Round_3_Replicate_13	-639.62	1287.24	816.8	323.52	0.4645,0.3924,0.2037,1.7915
sym_mig	Round_3_Replicate_14	-688.82	1385.64	890.69	291.11	0.79,0.4513,0.1065,0.9627
sym_mig	Round_3_Replicate_15	-638.13	1284.26	790.05	311.92	0.5607,0.4753,0.1112,1.0844
sym_mig	Round_3_Replicate_16	-686.64	1381.28	1043.87	305.16	0.5102,0.5523,0.0561,1.0439
sym_mig	Round_3_Replicate_17	-747.97	1503.94	1020.46	259.33	0.9715,0.5571,0.0623,0.9357
sym_mig	Round_3_Replicate_18	-623.69	1255.38	770.68	400.41	0.3981,0.3252,0.2032,0.8284
sym_mig	Round_3_Replicate_19	-629.85	1267.7	802.08	372.62	0.4569,0.3678,0.1202,0.7462
sym_mig	Round_3_Replicate_20	-651.72	1311.44	755.21	172.88	1.0269,0.9435,0.0798,2.801
sym_mig	Round_3_Replicate_21	-667.11	1342.22	923.6	292.76	0.5928,0.5515,0.0631,1.0713
sym_mig	Round_3_Replicate_22	-616.78	1241.56	744.93	420.8	0.3546,0.3239,0.1678,0.6059
sym_mig	Round_3_Replicate_23	-688.49	1384.98	946.47	258.35	0.7903,0.615,0.0509,1.1553
sym_mig	Round_3_Replicate_24	-773.51	1555.02	1132.44	207.87	0.9382,0.9818,0.027,1.2942
sym_mig	Round_3_Replicate_25	-635.01	1278.02	801.04	373.22	0.4093,0.3432,0.2272,1.2481
sym_mig	Round_3_Replicate_26	-631.31	1270.62	778.83	345.8	0.4611,0.3933,0.1824,1.2105
sym_mig	Round_3_Replicate_27	-793.7	1595.4	1158.29	256.62	0.4696,0.9162,0.0535,1.0741
sym_mig	Round_3_Replicate_28	-635.71	1279.42	798.61	303.83	0.5461,0.4263,0.1743,1.6651
sym_mig	Round_3_Replicate_29	-633.55	1275.1	772.56	304.83	0.5477,0.4503,0.1639,1.4808
sym_mig	Round_3_Replicate_30	-739.81	1487.62	1020.61	262.37	0.9889,0.5068,0.0704,0.988
sym_mig	Round_3_Replicate_31	-615.23	1238.46	760.9	435.46	0.3652,0.2841,0.1737,0.5337
sym_mig	Round_3_Replicate_32	-637.15	1282.3	769.95	251.33	0.698,0.5671,0.1251,1.8773
sym_mig	Round_3_Replicate_33	-653.96	1315.92	803.48	249.39	0.8093,0.5824,0.0964,1.5022
sym_mig	Round_3_Replicate_34	-659.64	1327.28	917.16	323.43	0.5231,0.4817,0.068,0.9028
sym_mig	Round_3_Replicate_35	-616.28	1240.56	731.35	421.46	0.3606,0.3197,0.1685,0.5585
sym_mig	Round_3_Replicate_36	-646.54	1301.08	781.96	195.68	0.9873,0.7329,0.0918,2.4836
sym_mig	Round_3_Replicate_37	-672.36	1352.72	813.35	245.5	0.859,0.6196,0.0921,1.3484
sym_mig	Round_3_Replicate_38	-654.94	1317.88	753.85	224.5	0.8215,0.7112,0.1082,1.8233
sym_mig	Round_3_Replicate_39	-644.23	1296.46	823.06	308.43	0.6061,0.4625,0.1003,1.0612
sym_mig	Round_3_Replicate_40	-625.9	1259.8	753.82	366.29	0.454,0.3774,0.167,0.8688
sym_mig	Round_3_Replicate_41	-665.58	1339.16	924.82	382.97	0.4364,0.2655,0.3282,1.7455
sym_mig	Round_3_Replicate_42	-664.55	1337.1	888.81	316.87	0.6737,0.3709,0.1496,1.1046
sym_mig	Round_3_Replicate_43	-631.52	1271.04	773.29	329.37	0.499,0.4179,0.1689,1.2613
sym_mig	Round_3_Replicate_44	-775.67	1559.34	1125.05	243.71	0.6224,0.9176,0.0333,1.0292
sym_mig	Round_3_Replicate_45	-634.5	1277.0	778.06	290.41	0.5831,0.4697,0.1551,1.6157
sym_mig	Round_3_Replicate_46	-638.66	1285.32	803.15	347.11	0.4411,0.3626,0.2334,1.5616
sym_mig	Round_3_Replicate_47	-634.04	1276.08	772.05	339.8	0.5282,0.414,0.1306,0.8866
sym_mig	Round_3_Replicate_48	-626.76	1261.52	763.37	369.73	0.4346,0.3691,0.1847,0.9627
sym_mig	Round_3_Replicate_49	-720.4	1448.8	956.19	242.61	0.8427,0.7307,0.0454,1.0978
sym_mig	Round_3_Replicate_50	-670.38	1348.76	843.7	282.87	0.6843,0.5646,0.0713,0.9897
