Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-3209.55	6427.1	144167.63	276.2	0.1008,5.317,1.5022,0.1262
sym_mig	Round_1_Replicate_2	-2967.82	5943.64	308551.11	106.54	1.7413,4.9203,0.2397,1.307
sym_mig	Round_1_Replicate_3	-4953.9	9915.8	30728930.73	140.36	7.7481,0.5242,2.0166,2.5148
sym_mig	Round_1_Replicate_4	-2687.48	5382.96	40482.33	264.06	0.1184,3.2383,0.8781,0.196
sym_mig	Round_1_Replicate_5	-1124.87	2257.74	2659.78	81.97	4.2022,0.9251,0.1172,7.3602
sym_mig	Round_1_Replicate_6	-2686.92	5381.84	102755.98	148.35	0.6,3.8827,0.4549,0.9585
sym_mig	Round_1_Replicate_7	-1180.53	2369.06	4132.44	271.11	0.8965,0.6711,0.1925,0.543
sym_mig	Round_1_Replicate_8	-1672.01	3352.02	8484.62	217.44	0.4649,2.0669,0.161,0.4946
sym_mig	Round_1_Replicate_9	-4726.95	9461.9	25397740.45	268.85	2.9757,0.6513,1.2468,0.1914
sym_mig	Round_1_Replicate_10	-4202.18	8412.36	4602341.43	197.09	0.2789,2.4397,2.1785,3.259
sym_mig	Round_2_Replicate_1	-992.14	1992.28	2655.79	181.73	1.3293,0.3121,0.0552,3.8813
sym_mig	Round_2_Replicate_2	-692.77	1393.54	1110.88	105.71	1.6954,0.8309,0.076,9.9786
sym_mig	Round_2_Replicate_3	-1334.22	2676.44	5980.02	63.83	2.7839,2.3277,0.1574,14.4964
sym_mig	Round_2_Replicate_4	-1215.67	2439.34	3996.92	99.02	2.9984,0.3322,0.0694,8.8643
sym_mig	Round_2_Replicate_5	-659.46	1326.92	908.52	147.39	1.3631,0.7828,0.075,4.379
sym_mig	Round_2_Replicate_6	-1928.71	3865.42	31022.75	81.8	1.9718,2.0893,0.303,11.2181
sym_mig	Round_2_Replicate_7	-638.07	1284.14	779.16	66.4	2.5494,2.1119,0.0356,11.0363
sym_mig	Round_2_Replicate_8	-786.99	1581.98	1579.47	138.36	1.3406,0.4592,0.1208,11.3079
sym_mig	Round_2_Replicate_9	-637.84	1283.68	781.51	61.58	2.6755,2.2725,0.0336,12.2938
sym_mig	Round_2_Replicate_10	-799.6	1607.2	1124.88	89.79	1.6627,1.7976,0.108,8.7504
sym_mig	Round_2_Replicate_11	-702.63	1413.26	1145.38	95.68	2.154,1.1971,0.0292,6.9204
sym_mig	Round_2_Replicate_12	-1075.2	2158.4	2447.34	77.37	4.643,0.7133,0.0715,8.1507
sym_mig	Round_2_Replicate_13	-1316.32	2640.64	3930.72	162.8	1.8951,0.253,0.3139,10.9411
sym_mig	Round_2_Replicate_14	-1137.68	2283.36	3307.03	93.35	1.8987,1.4753,0.1982,10.7636
sym_mig	Round_2_Replicate_15	-926.96	1861.92	1596.04	110.19	1.1205,1.5089,0.1777,9.9786
sym_mig	Round_2_Replicate_16	-641.26	1290.52	827.19	151.54	1.1079,0.8065,0.0946,4.9896
sym_mig	Round_2_Replicate_17	-931.69	1871.38	2219.16	98.62	2.6195,0.539,0.0645,8.879
sym_mig	Round_2_Replicate_18	-640.6	1289.2	816.22	61.47	2.8716,2.1763,0.0303,11.9673
sym_mig	Round_2_Replicate_19	-802.74	1613.48	1616.58	126.83	1.8347,0.6668,0.0386,5.3105
sym_mig	Round_2_Replicate_20	-650.98	1309.96	782.96	182.69	1.0853,0.785,0.0884,2.6786
sym_mig	Round_3_Replicate_1	-639.4	1286.8	766.58	55.71	2.9872,2.5083,0.0336,13.7927
sym_mig	Round_3_Replicate_2	-637.88	1283.76	784.48	72.93	2.2938,1.9098,0.039,10.1076
sym_mig	Round_3_Replicate_3	-638.04	1284.08	788.0	52.66	3.241,2.5926,0.0286,14.4497
sym_mig	Round_3_Replicate_4	-639.46	1286.92	767.73	50.26	3.2471,2.9287,0.0268,14.6991
sym_mig	Round_3_Replicate_5	-638.6	1285.2	795.6	65.1	2.6307,2.1165,0.0333,11.2842
sym_mig	Round_3_Replicate_6	-641.65	1291.3	815.74	72.6	2.2478,1.6895,0.0492,12.1379
sym_mig	Round_3_Replicate_7	-642.06	1292.12	763.5	80.98	2.145,1.7368,0.0489,8.7601
sym_mig	Round_3_Replicate_8	-638.86	1285.72	790.89	61.79	2.5077,2.2332,0.0355,13.1341
sym_mig	Round_3_Replicate_9	-638.61	1285.22	789.34	104.1	1.5124,1.343,0.0574,7.115
sym_mig	Round_3_Replicate_10	-645.17	1298.34	809.29	75.41	1.9432,1.9352,0.0392,10.3161
sym_mig	Round_3_Replicate_11	-638.59	1285.18	801.77	89.42	1.8869,1.4518,0.0525,8.6224
sym_mig	Round_3_Replicate_12	-661.76	1331.52	944.17	74.92	2.4855,1.4136,0.0455,11.4173
sym_mig	Round_3_Replicate_13	-643.05	1294.1	789.65	54.21	2.9639,2.8049,0.0252,13.1418
sym_mig	Round_3_Replicate_14	-637.95	1283.9	789.05	94.05	1.6949,1.4545,0.0538,8.1209
sym_mig	Round_3_Replicate_15	-645.59	1299.18	783.19	45.47	3.7227,3.4506,0.0197,14.7887
sym_mig	Round_3_Replicate_16	-638.04	1284.08	796.2	62.17	2.7032,2.1821,0.0334,12.2796
sym_mig	Round_3_Replicate_17	-641.7	1291.4	803.49	58.53	2.8212,2.1382,0.0399,14.8942
sym_mig	Round_3_Replicate_18	-637.86	1283.72	793.09	56.16	2.9742,2.4226,0.0305,13.7662
sym_mig	Round_3_Replicate_19	-638.77	1285.54	809.65	72.48	2.2551,1.8442,0.0389,10.7619
sym_mig	Round_3_Replicate_20	-647.01	1302.02	832.67	67.43	2.1422,2.0813,0.0353,12.2378
sym_mig	Round_3_Replicate_21	-642.05	1292.1	795.48	60.94	2.7438,2.4387,0.0276,11.4392
sym_mig	Round_3_Replicate_22	-639.08	1286.16	776.8	63.99	2.603,2.2741,0.0325,11.1976
sym_mig	Round_3_Replicate_23	-646.88	1301.76	845.18	79.95	1.7915,1.6542,0.0452,10.9554
sym_mig	Round_3_Replicate_24	-639.05	1286.1	765.15	76.74	2.1118,1.8811,0.0437,9.5595
sym_mig	Round_3_Replicate_25	-637.81	1283.62	785.83	98.74	1.701,1.4027,0.0529,7.1948
