Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-6978.37	13964.74	1240822729.53	187.46	5.321,2.4166,0.4888,0.3064
sym_mig	Round_1_Replicate_2	-714.28	1436.56	1044.34	315.45	0.2626,0.6269,0.3954,2.5418
sym_mig	Round_1_Replicate_3	-2774.14	5556.28	271217.62	278.27	1.0484,0.5737,1.1983,0.5543
sym_mig	Round_1_Replicate_4	-2304.93	4617.86	44891.79	240.09	2.8299,0.2305,0.9892,0.9586
sym_mig	Round_1_Replicate_5	-9330.52	18669.04	94936375615.0	187.65	1.439,8.0468,2.6495,0.2627
sym_mig	Round_1_Replicate_6	-3770.84	7549.68	1420736.56	210.74	4.1126,0.2456,2.2399,8.4719
sym_mig	Round_1_Replicate_7	-9081.19	18170.38	95963614782.0	191.9	1.6057,1.4275,4.561,0.6693
sym_mig	Round_1_Replicate_8	-526.31	1060.62	637.43	150.6	1.2955,0.5402,0.1044,6.6454
sym_mig	Round_1_Replicate_9	-3920.61	7849.22	2997664.43	192.0	2.4804,0.7473,1.1862,0.9897
sym_mig	Round_1_Replicate_10	-10345.5	20699.0	8.58017048325e+11	162.25	7.1093,1.4445,3.9261,0.5712
sym_mig	Round_1_Replicate_11	-4599.71	9207.42	13103223.99	105.64	2.2466,3.3767,0.599,1.8271
sym_mig	Round_1_Replicate_12	-4413.36	8834.72	6629566.41	443.18	0.1472,0.9188,4.9085,2.9282
sym_mig	Round_1_Replicate_13	-4470.54	8949.08	10581887.57	257.31	0.6461,1.0282,2.1399,0.6416
sym_mig	Round_1_Replicate_14	-5920.67	11849.34	127182049.61	186.53	0.3046,3.6637,3.622,8.489
sym_mig	Round_1_Replicate_15	-649.95	1307.9	915.01	432.18	0.4626,0.2255,0.1303,0.2546
sym_mig	Round_1_Replicate_16	-1993.85	3995.7	35281.11	191.87	0.5665,1.5511,0.5848,1.7415
sym_mig	Round_1_Replicate_17	-11040.74	22089.48	2.65859998271e+12	110.17	7.6187,3.1277,2.4633,0.9357
sym_mig	Round_1_Replicate_18	-4926.88	9861.76	29657428.21	127.79	1.7639,1.4849,1.2923,3.5299
sym_mig	Round_1_Replicate_19	-474.99	957.98	405.71	450.3	0.385,0.2376,0.3996,1.0246
