Simulation	Best_Replicate	log-likelihood	theta	sfs_sum	chi-squared	optimized_params
1	Round_3_Replicate_44	-454.14	259.71	1628.0	422.98	0.5874,0.4477,0.1949,3.8403
2	Round_3_Replicate_10	-385.91	616.93	1579.0	239.48	0.1546,0.148,0.2047,0.2023
3	Round_3_Replicate_39	-465.58	393.83	1594.0	471.89	0.3762,0.3123,0.2731,1.5558
4	Round_3_Replicate_44	-389.52	610.43	1526.0	292.77	0.1515,0.1369,0.2117,0.1983
5	Round_3_Replicate_11	-427.48	641.91	1586.0	303.43	0.1448,0.134,0.3541,0.1909
6	Round_3_Replicate_46	-406.53	687.53	1573.0	251.28	0.1186,0.0997,0.3667,0.1483
7	Round_3_Replicate_44	-459.47	439.33	1546.0	478.65	0.3109,0.2578,0.3534,1.486
8	Round_3_Replicate_10	-421.58	619.4	1504.0	318.85	0.1469,0.1242,0.3793,0.1904
9	Round_3_Replicate_25	-415.8	657.91	1565.0	267.6	0.1313,0.1123,0.384,0.1611
10	Round_3_Replicate_44	-416.58	640.93	1548.0	287.84	0.1382,0.1204,0.3174,0.1742
