Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_1_Replicate_1	-1976.24	3964.48	30970.79	192.27	3.6401,0.2097,0.2393,0.5614,0.3314,0.7827
anc_asym_mig	Round_1_Replicate_2	-1687.79	3387.58	58625.85	431.31	0.2814,0.1989,0.1609,0.3136,1.644,0.4231
anc_asym_mig	Round_1_Replicate_3	-1198.37	2408.74	2307.79	284.02	0.1808,1.1459,4.3035,0.246,0.8427,0.1766
anc_asym_mig	Round_1_Replicate_4	-3679.65	7371.3	3.43230853209e+11	192.38	1.2204,0.1633,0.5736,0.5651,1.1513,3.1815
anc_asym_mig	Round_1_Replicate_5	-3302.71	6617.42	599145014.13	165.24	0.2767,1.3454,0.6931,1.2136,3.9906,3.2224
anc_asym_mig	Round_1_Replicate_6	-1593.47	3198.94	42104.83	520.66	0.2336,0.1562,0.6308,0.1374,3.2721,0.312
anc_asym_mig	Round_1_Replicate_7	-1669.2	3350.4	202674.83	175.53	1.542,0.5089,3.4409,2.7595,0.2219,2.6003
anc_asym_mig	Round_1_Replicate_8	-890.4	1792.8	3600.01	509.54	0.4344,0.238,2.379,0.7502,8.2521,0.3778
anc_asym_mig	Round_1_Replicate_9	-1694.68	3401.36	145425.61	418.54	0.554,0.1765,1.5105,5.1978,3.9012,0.9143
anc_asym_mig	Round_1_Replicate_10	-1593.8	3199.6	11839.93	96.27	0.7387,4.4439,0.164,1.4598,3.2391,1.915
anc_asym_mig	Round_2_Replicate_1	-1346.76	2705.52	15879.88	675.74	0.3362,0.0956,0.6172,1.9068,8.4775,0.2791
anc_asym_mig	Round_2_Replicate_2	-828.77	1669.54	2529.09	437.55	0.4562,0.3906,5.6566,0.8048,5.0437,0.5124
anc_asym_mig	Round_2_Replicate_3	-1272.5	2557.0	28512.41	215.09	0.9012,0.5194,0.8788,0.2832,26.3551,1.4745
anc_asym_mig	Round_2_Replicate_4	-1296.79	2605.58	3348.99	787.14	0.5858,0.1179,6.2661,1.2863,5.4366,0.1355
anc_asym_mig	Round_2_Replicate_5	-1198.07	2408.14	12707.5	595.5	0.4554,0.1556,2.3077,0.2949,21.5634,0.3501
anc_asym_mig	Round_2_Replicate_6	-1229.5	2471.0	6621.12	569.79	0.3876,0.0994,0.943,0.2723,6.2843,0.1267
anc_asym_mig	Round_2_Replicate_7	-778.7	1569.4	1255.75	373.5	0.5291,0.399,1.6842,0.3799,22.3452,0.2214
anc_asym_mig	Round_2_Replicate_8	-3239.67	6491.34	633491987.93	852.09	0.1429,0.1012,3.9259,0.4081,16.0977,0.8065
anc_asym_mig	Round_2_Replicate_9	-764.88	1541.76	2058.23	708.86	0.2077,0.232,3.2302,1.1542,21.7282,0.2337
anc_asym_mig	Round_2_Replicate_10	-1132.15	2276.3	8174.15	914.75	0.3332,0.1113,6.2977,1.215,22.4213,0.2544
anc_asym_mig	Round_2_Replicate_11	-1405.35	2822.7	9770.49	393.49	0.1387,0.7067,9.6715,0.8093,27.625,0.4689
anc_asym_mig	Round_2_Replicate_12	-1994.1	4000.2	535219.2	385.7	0.3169,0.2689,0.7799,0.2644,4.2391,0.9881
anc_asym_mig	Round_2_Replicate_13	-852.63	1717.26	3256.82	630.15	0.2139,0.262,2.7938,2.0893,3.225,0.3322
anc_asym_mig	Round_2_Replicate_14	-1377.38	2766.76	42716.04	266.67	0.7283,0.3868,1.1485,1.3244,2.5395,1.365
anc_asym_mig	Round_2_Replicate_15	-861.14	1734.28	3078.85	301.88	0.6207,0.6203,4.2952,0.1897,27.2859,0.7954
anc_asym_mig	Round_2_Replicate_16	-827.2	1666.4	1415.93	401.86	0.5167,0.4032,2.2074,0.2761,5.3933,0.227
anc_asym_mig	Round_2_Replicate_17	-1471.39	2954.78	4530.29	295.79	1.4758,0.2174,1.3298,0.512,11.1295,0.1405
anc_asym_mig	Round_2_Replicate_18	-720.89	1453.78	907.67	209.88	0.4619,0.8949,0.5982,0.2586,17.5796,0.1973
anc_asym_mig	Round_2_Replicate_19	-761.43	1534.86	1346.12	726.28	0.2582,0.2067,2.6712,0.3205,6.9728,0.1083
anc_asym_mig	Round_2_Replicate_20	-904.62	1821.24	1564.41	269.25	0.5834,0.8485,3.9165,0.2213,10.6432,0.4049
anc_asym_mig	Round_3_Replicate_1	-642.6	1297.2	847.9	149.06	1.022,0.7922,0.1592,0.1521,7.376,0.1036
anc_asym_mig	Round_3_Replicate_2	-1055.73	2123.46	2536.89	130.85	0.488,1.6253,0.1795,0.2515,24.5347,0.4539
anc_asym_mig	Round_3_Replicate_3	-798.23	1608.46	1059.88	127.73	0.5928,1.4857,0.2625,0.1404,22.8144,0.0756
anc_asym_mig	Round_3_Replicate_4	-939.03	1890.06	4278.41	428.08	0.2443,0.3928,1.0052,0.0917,19.8622,0.287
anc_asym_mig	Round_3_Replicate_5	-1108.87	2229.74	3227.67	228.7	1.4942,0.4629,1.2279,0.0989,21.0317,0.5397
anc_asym_mig	Round_3_Replicate_6	-636.42	1284.84	836.36	240.04	0.5224,0.5239,0.3206,0.1714,5.6997,0.049
anc_asym_mig	Round_3_Replicate_7	-1189.29	2390.58	2414.44	309.52	0.173,0.8382,1.5888,0.7371,23.2118,0.0954
anc_asym_mig	Round_3_Replicate_8	-1573.3	3158.6	9582.42	257.45	0.1527,0.4348,0.1994,0.1074,24.5347,0.1462
anc_asym_mig	Round_3_Replicate_9	-1278.75	2569.5	2720.42	155.79	0.2557,1.9194,1.7983,0.1747,29.0771,0.1458
anc_asym_mig	Round_3_Replicate_10	-802.89	1617.78	2412.79	323.58	0.4632,0.5677,2.3168,0.4251,23.3947,0.5985
anc_asym_mig	Round_3_Replicate_11	-911.1	1834.2	1731.38	261.28	0.9744,0.5513,1.7362,0.3088,7.4722,0.3977
anc_asym_mig	Round_3_Replicate_12	-1595.28	3202.56	12709.76	180.49	1.8087,0.9382,1.6277,0.0617,24.5347,0.2727
anc_asym_mig	Round_3_Replicate_13	-714.21	1440.42	860.97	344.93	0.2196,0.6074,0.9777,0.1579,22.9476,0.0534
anc_asym_mig	Round_3_Replicate_14	-916.24	1844.48	2091.89	425.02	0.2124,0.39,0.1932,0.7727,7.298,0.1127
anc_asym_mig	Round_3_Replicate_15	-1975.28	3962.56	9230.79	135.14	0.2626,3.3613,0.2073,0.7624,18.5254,0.4795
anc_asym_mig	Round_3_Replicate_16	-762.39	1536.78	1312.75	297.14	0.665,0.5113,1.5583,0.3808,24.5165,0.3757
anc_asym_mig	Round_3_Replicate_17	-742.15	1496.3	1334.24	466.37	0.2452,0.4523,1.9735,0.0994,21.3746,0.1877
anc_asym_mig	Round_3_Replicate_18	-906.61	1825.22	2937.03	287.63	0.408,0.3656,0.3313,0.076,4.7795,0.1494
anc_asym_mig	Round_3_Replicate_19	-2634.2	5280.4	239247.77	97.97	1.8242,2.3303,1.3287,0.1365,26.1971,0.1065
anc_asym_mig	Round_3_Replicate_20	-1384.47	2780.94	6646.27	80.81	1.4405,2.684,0.8254,0.2913,19.4246,0.3822
anc_asym_mig	Round_3_Replicate_21	-666.01	1344.02	847.8	199.06	0.6505,0.7356,0.3574,0.3553,18.6109,0.2246
anc_asym_mig	Round_3_Replicate_22	-1133.06	2278.12	2244.31	129.2	0.5195,2.0192,0.4662,0.4717,24.2705,0.4479
anc_asym_mig	Round_3_Replicate_23	-2112.45	4236.9	64362.62	131.93	1.6374,1.7225,1.4156,0.0508,5.4644,0.1454
anc_asym_mig	Round_3_Replicate_24	-1372.34	2756.68	3202.69	129.93	0.2533,2.5708,2.4281,0.0584,7.9183,0.3146
anc_asym_mig	Round_3_Replicate_25	-1110.25	2232.5	3009.95	133.7	1.5238,0.8737,0.2753,0.6162,23.2118,0.1181
anc_asym_mig	Round_3_Replicate_26	-1334.99	2681.98	6199.8	142.13	1.3334,0.9863,0.45,0.9147,23.4373,0.1624
anc_asym_mig	Round_3_Replicate_27	-1323.76	2659.52	2967.18	162.82	0.2591,1.9172,2.4027,0.2256,5.4441,0.1751
anc_asym_mig	Round_3_Replicate_28	-687.35	1386.7	1020.21	302.39	0.616,0.3595,0.5317,0.7521,22.9476,0.1919
anc_asym_mig	Round_3_Replicate_29	-1051.6	2115.2	1915.87	284.79	0.2772,0.7865,0.6644,0.7632,23.3031,0.0988
anc_asym_mig	Round_3_Replicate_30	-1191.25	2394.5	2680.21	186.43	0.2041,1.2393,0.3793,0.2298,25.0079,0.0797
anc_asym_mig	Round_4_Replicate_1	-641.76	1295.52	861.85	271.3	0.4138,0.4595,0.3631,0.1716,7.001,0.0309
anc_asym_mig	Round_4_Replicate_2	-646.61	1305.22	724.45	219.41	0.435,0.8088,0.4765,0.0688,7.266,0.0325
anc_asym_mig	Round_4_Replicate_3	-636.05	1284.1	801.42	244.15	0.5271,0.5508,0.3744,0.2139,5.365,0.0801
anc_asym_mig	Round_4_Replicate_4	-675.57	1363.14	844.92	195.4	0.9617,0.6391,0.1768,0.1698,3.2855,0.0146
anc_asym_mig	Round_4_Replicate_5	-633.6	1279.2	797.34	202.67	0.5851,0.6723,0.3204,0.1512,8.5481,0.0782
anc_asym_mig	Round_4_Replicate_6	-665.48	1342.96	974.81	280.46	0.4772,0.3651,0.2062,0.2303,4.1568,0.0116
anc_asym_mig	Round_4_Replicate_7	-657.71	1327.42	952.7	242.67	0.582,0.4111,0.2461,0.2095,6.2962,0.0214
anc_asym_mig	Round_4_Replicate_8	-720.54	1453.08	840.17	197.24	0.5327,0.9987,0.6092,0.0925,6.7202,0.0681
anc_asym_mig	Round_4_Replicate_9	-664.86	1341.72	996.29	221.4	0.7092,0.5725,0.4102,0.2256,5.3138,0.2047
anc_asym_mig	Round_4_Replicate_10	-634.82	1281.64	781.42	233.25	0.5035,0.6212,0.4427,0.1635,10.6384,0.0861
anc_asym_mig	Round_4_Replicate_11	-648.41	1308.82	785.94	252.89	0.4912,0.497,0.3564,0.2536,9.5737,0.0271
anc_asym_mig	Round_4_Replicate_12	-643.18	1298.36	821.26	205.36	0.6041,0.7368,0.4392,0.1509,8.3941,0.1559
anc_asym_mig	Round_4_Replicate_13	-645.07	1302.14	800.29	277.89	0.3238,0.5573,0.4621,0.1095,7.1032,0.0192
anc_asym_mig	Round_4_Replicate_14	-639.98	1291.96	850.96	259.87	0.4728,0.4849,0.3011,0.2068,4.7315,0.0473
anc_asym_mig	Round_4_Replicate_15	-638.32	1288.64	777.21	210.88	0.5263,0.7489,0.4345,0.121,8.7108,0.102
anc_asym_mig	Round_4_Replicate_16	-655.97	1323.94	890.73	178.11	0.8958,0.5722,0.1995,0.2547,11.307,0.0848
anc_asym_mig	Round_4_Replicate_17	-641.3	1294.6	821.68	311.82	0.4134,0.4613,0.6113,0.2504,4.3003,0.0948
anc_asym_mig	Round_4_Replicate_18	-639.28	1290.56	821.81	161.67	0.7374,0.7947,0.2639,0.0853,19.6012,0.0442
anc_asym_mig	Round_4_Replicate_19	-648.12	1308.24	919.44	166.25	0.7429,0.6779,0.2163,0.1211,16.3427,0.0638
anc_asym_mig	Round_4_Replicate_20	-638.89	1289.78	759.42	296.06	0.3717,0.5528,0.6076,0.1136,4.0986,0.0495
anc_asym_mig	Round_4_Replicate_21	-670.1	1352.2	801.81	179.51	0.9156,0.8243,0.2439,0.118,3.6734,0.0542
anc_asym_mig	Round_4_Replicate_22	-670.49	1352.98	1002.77	287.98	0.4322,0.3649,0.3844,0.1525,21.1681,0.0135
anc_asym_mig	Round_4_Replicate_23	-678.56	1369.12	1081.88	252.26	0.588,0.4214,0.1781,0.1616,3.4903,0.0367
anc_asym_mig	Round_4_Replicate_24	-640.13	1292.26	831.14	263.27	0.5356,0.4571,0.2586,0.2726,3.8862,0.049
anc_asym_mig	Round_4_Replicate_25	-644.41	1300.82	833.62	277.24	0.4471,0.4611,0.2619,0.2334,3.6252,0.029
anc_asym_mig	Round_4_Replicate_26	-632.89	1277.78	774.44	247.35	0.4316,0.5745,0.4199,0.1386,12.9741,0.0376
anc_asym_mig	Round_4_Replicate_27	-637.48	1286.96	777.38	267.33	0.4347,0.5719,0.556,0.1605,8.0247,0.0807
anc_asym_mig	Round_4_Replicate_28	-636.55	1285.1	824.58	199.33	0.6545,0.6464,0.2075,0.12,4.9537,0.028
anc_asym_mig	Round_4_Replicate_29	-642.94	1297.88	847.11	306.42	0.4342,0.4534,0.5717,0.206,3.9875,0.0838
anc_asym_mig	Round_4_Replicate_30	-638.45	1288.9	767.95	277.41	0.4514,0.5322,0.5,0.1478,3.856,0.0482
anc_asym_mig	Round_4_Replicate_31	-671.24	1354.48	773.16	199.77	0.6018,0.7578,0.4064,0.2034,10.0931,0.0738
anc_asym_mig	Round_4_Replicate_32	-638.28	1288.56	758.61	225.19	0.6215,0.6449,0.2919,0.1438,3.3986,0.0452
anc_asym_mig	Round_4_Replicate_33	-684.28	1380.56	962.42	160.15	0.8614,1.0323,0.3871,0.2552,5.6115,0.4442
anc_asym_mig	Round_4_Replicate_34	-660.37	1332.74	976.45	257.7	0.5559,0.3627,0.2328,0.2973,11.2136,0.0333
anc_asym_mig	Round_4_Replicate_35	-634.2	1280.4	783.4	293.54	0.3827,0.5027,0.5554,0.1869,9.6492,0.0645
anc_asym_mig	Round_4_Replicate_36	-644.86	1301.72	869.81	171.9	0.8029,0.7581,0.3153,0.1463,11.3119,0.1671
anc_asym_mig	Round_4_Replicate_37	-709.05	1430.1	960.94	273.03	0.5814,0.4782,0.5613,0.1417,4.1349,0.0372
anc_asym_mig	Round_4_Replicate_38	-684.26	1380.52	1000.4	200.84	0.8099,0.665,0.4411,0.1428,5.6028,0.199
anc_asym_mig	Round_4_Replicate_39	-647.03	1306.06	860.26	181.83	0.7054,0.6217,0.1816,0.1498,7.9211,0.0159
anc_asym_mig	Round_4_Replicate_40	-642.53	1297.06	836.99	244.07	0.6361,0.4907,0.1792,0.2428,3.2885,0.0427
