Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_1_Replicate_1	-715.71	1447.42	1071.8	562.27	0.2817,0.6293,0.2572,0.2681,3.021,5.8392,6.89,0.2298
anc_asym_mig_size	Round_1_Replicate_2	-984.66	1985.32	6378.3	409.84	0.195,3.0753,0.3339,0.3164,8.1962,3.2953,0.269,0.6652
anc_asym_mig_size	Round_1_Replicate_3	-1142.03	2300.06	2212.95	342.45	0.1905,0.1982,0.7016,1.0359,3.6298,0.2128,0.1582,0.1703
anc_asym_mig_size	Round_1_Replicate_4	-1830.78	3677.56	5711.1	204.06	0.1236,0.3977,0.4148,4.2743,0.8186,1.5778,1.0014,0.4746
anc_asym_mig_size	Round_1_Replicate_5	-1728.56	3473.12	33356.89	191.19	6.6258,2.5384,0.2658,1.8521,2.0811,1.4484,0.2054,1.1984
anc_asym_mig_size	Round_1_Replicate_6	-5510.28	11036.56	97759830.99	182.64	1.7611,1.6987,3.8792,3.9439,0.2314,3.0863,0.1414,0.171
anc_asym_mig_size	Round_1_Replicate_7	-1667.7	3351.4	10510.65	221.93	0.3548,2.1888,0.224,1.8362,0.1523,3.3943,0.4409,0.6636
anc_asym_mig_size	Round_1_Replicate_8	-1754.28	3524.56	9148.7	209.29	5.3406,0.5423,3.0627,0.5002,3.1558,0.4302,0.5762,0.3448
anc_asym_mig_size	Round_1_Replicate_9	-1942.34	3900.68	267048.58	66.17	0.4832,0.156,1.3481,5.9636,6.7014,2.4927,3.1386,5.2387
anc_asym_mig_size	Round_1_Replicate_10	-2310.63	4637.26	1932339.9	274.21	1.964,1.6015,0.4076,0.3355,5.031,0.9439,1.7895,1.8426
anc_asym_mig_size	Round_2_Replicate_1	-1410.79	2837.58	68158.07	748.93	0.1545,0.5206,0.1864,0.2175,2.173,7.928,4.2586,0.5703
anc_asym_mig_size	Round_2_Replicate_2	-1207.9	2431.8	4491.21	395.06	0.9621,0.2716,0.4034,0.1968,1.0028,17.3458,8.3438,0.1055
anc_asym_mig_size	Round_2_Replicate_3	-3082.43	6180.86	15357452.68	539.46	0.745,0.5704,0.1252,0.1268,3.1218,2.2504,4.2179,0.7833
anc_asym_mig_size	Round_2_Replicate_4	-999.81	2015.62	2244.4	310.65	0.3937,1.2006,0.4791,0.1503,7.5898,1.8764,3.7631,0.1145
anc_asym_mig_size	Round_2_Replicate_5	-1009.82	2035.64	7298.93	367.83	0.3072,0.7873,0.4406,0.5614,1.7029,7.092,9.979,0.8415
anc_asym_mig_size	Round_2_Replicate_6	-846.8	1709.6	1481.42	209.05	1.0158,1.9846,0.2176,0.5647,6.9311,7.7225,26.5651,0.381
anc_asym_mig_size	Round_2_Replicate_7	-1750.85	3517.7	478959.56	1017.39	0.11,2.0322,0.1877,0.1179,1.062,15.1297,19.9484,0.5274
anc_asym_mig_size	Round_2_Replicate_8	-1277.25	2570.5	2721.71	1311.76	0.0685,1.6053,0.6491,0.0846,4.0919,15.597,2.8399,0.0864
anc_asym_mig_size	Round_2_Replicate_9	-1837.12	3690.24	118698.98	382.71	0.0739,0.6934,0.2146,1.0316,2.0469,14.5029,25.0718,0.8116
anc_asym_mig_size	Round_2_Replicate_10	-1218.23	2452.46	2873.29	858.58	0.1092,0.5614,0.1091,0.4033,4.5062,13.5778,3.7519,0.1582
anc_asym_mig_size	Round_2_Replicate_11	-1101.87	2219.74	2401.15	628.51	0.1197,0.8946,0.9197,0.1777,2.5162,6.3455,3.6887,0.2354
anc_asym_mig_size	Round_2_Replicate_12	-1034.26	2084.52	4988.84	340.49	0.2134,0.4751,0.8972,0.4756,2.113,6.463,14.005,0.8013
anc_asym_mig_size	Round_2_Replicate_13	-715.85	1447.7	1382.07	843.48	0.2869,0.3532,0.0951,0.136,3.021,5.3758,2.4161,0.1384
anc_asym_mig_size	Round_2_Replicate_14	-831.08	1678.16	1700.15	315.42	0.2401,1.0898,0.8835,0.3092,11.8001,7.0692,21.6236,0.516
anc_asym_mig_size	Round_2_Replicate_15	-1604.81	3225.62	64631.73	614.52	0.2348,0.9778,0.1215,0.4533,1.5419,16.6762,2.2771,0.5445
anc_asym_mig_size	Round_2_Replicate_16	-2236.69	4489.38	39701.23	835.33	0.1443,0.2711,0.8838,0.3083,0.7996,21.3988,15.1026,0.106
anc_asym_mig_size	Round_2_Replicate_17	-1801.89	3619.78	18154.87	411.66	0.6686,0.2273,0.9888,0.5621,4.8732,1.9008,2.3207,0.1471
anc_asym_mig_size	Round_2_Replicate_18	-783.38	1582.76	1075.81	441.83	0.6091,0.8408,0.1231,0.2491,12.1248,2.1006,2.68,0.118
anc_asym_mig_size	Round_2_Replicate_19	-1391.86	2799.72	5552.7	493.48	0.1644,0.3446,0.4135,0.5791,5.6635,4.8354,1.8124,0.1465
anc_asym_mig_size	Round_2_Replicate_20	-1004.42	2024.84	1877.68	176.04	0.6475,2.2739,0.2715,0.9984,2.6061,1.9758,10.3472,0.4226
anc_asym_mig_size	Round_3_Replicate_1	-781.52	1579.04	1467.41	713.64	0.4629,0.341,0.3347,0.1377,0.9213,20.7802,5.614,0.2063
anc_asym_mig_size	Round_3_Replicate_2	-1364.05	2744.1	9374.41	440.89	0.1376,0.9288,0.2806,0.825,0.9082,12.0828,20.3526,0.5529
anc_asym_mig_size	Round_3_Replicate_3	-1455.59	2927.18	28655.55	848.59	0.1161,0.2982,0.4777,0.0987,2.9598,15.3187,4.0698,0.3702
anc_asym_mig_size	Round_3_Replicate_4	-870.41	1756.82	1542.01	732.97	0.2337,0.1927,0.4223,0.1307,4.4667,3.3139,5.7154,0.1386
anc_asym_mig_size	Round_3_Replicate_5	-1051.82	2119.64	7265.5	637.02	0.1385,0.9787,0.4236,0.2636,0.8686,8.7373,26.5632,0.4526
anc_asym_mig_size	Round_3_Replicate_6	-1225.83	2467.66	4717.25	420.08	0.9774,0.4967,0.12,0.5959,6.0437,2.0003,15.3512,0.3456
anc_asym_mig_size	Round_3_Replicate_7	-1709.86	3435.72	51832.86	407.76	0.3794,0.2141,0.1424,0.7924,4.591,24.5114,25.0399,0.6819
anc_asym_mig_size	Round_3_Replicate_8	-746.97	1509.94	1059.94	555.96	0.1156,1.536,0.8653,0.0675,2.4162,2.0929,11.2564,0.064
anc_asym_mig_size	Round_3_Replicate_9	-789.42	1594.84	1104.48	628.87	0.4643,0.3272,0.1156,0.2132,2.9323,10.1912,10.4531,0.1023
anc_asym_mig_size	Round_3_Replicate_10	-1015.19	2046.38	1758.38	861.47	0.1113,0.2462,0.1003,0.3196,12.3654,8.3887,15.4866,0.1164
anc_asym_mig_size	Round_3_Replicate_11	-829.53	1675.06	1246.66	741.93	0.0801,0.3896,0.5719,0.136,3.6475,2.5502,4.3207,0.1143
anc_asym_mig_size	Round_3_Replicate_12	-1407.69	2831.38	66461.81	705.36	0.2833,0.7482,0.2532,0.1817,2.1168,22.9909,3.798,0.6433
anc_asym_mig_size	Round_3_Replicate_13	-1022.01	2060.02	1777.23	475.24	0.272,0.3892,0.185,0.5749,11.5255,6.9352,3.5508,0.2023
anc_asym_mig_size	Round_3_Replicate_14	-683.8	1383.6	1161.01	780.23	0.4064,1.9835,0.219,0.1029,1.3281,9.5268,26.1503,0.1409
anc_asym_mig_size	Round_3_Replicate_15	-1440.6	2897.2	4334.35	409.16	0.0717,0.3587,0.671,0.8648,5.9672,4.1718,6.762,0.281
anc_asym_mig_size	Round_3_Replicate_16	-993.5	2003.0	1677.72	1037.66	0.0734,2.1118,0.9003,0.0561,5.3376,7.4951,2.7522,0.0633
anc_asym_mig_size	Round_3_Replicate_17	-1395.5	2807.0	3116.5	470.29	0.0984,0.4798,0.1109,0.9539,5.4404,1.6247,2.7341,0.1079
anc_asym_mig_size	Round_3_Replicate_18	-1002.31	2020.62	2124.56	482.52	0.2398,1.3067,0.2905,0.4269,10.2281,15.6994,2.563,0.2084
anc_asym_mig_size	Round_3_Replicate_19	-788.62	1593.24	1450.11	1147.13	0.0836,0.2551,0.2634,0.0834,6.2517,6.3159,3.5256,0.1107
anc_asym_mig_size	Round_3_Replicate_20	-688.8	1393.6	1177.14	464.02	1.1059,0.2295,0.1159,0.1911,1.0594,5.9029,8.7146,0.173
anc_asym_mig_size	Round_3_Replicate_21	-806.93	1629.86	1445.99	414.6	0.8149,0.728,0.1274,0.2888,10.4522,25.3122,3.4041,0.2306
