Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
anc_sym_mig	Round_1_Replicate_1	-999.29	2008.58	2161.64	402.79	0.3396,0.4371,3.7907,0.5363,0.1638
anc_sym_mig	Round_1_Replicate_2	-2636.06	5282.12	20517454.4	163.54	0.3842,1.2179,1.5971,2.69,3.3124
anc_sym_mig	Round_1_Replicate_3	-2712.87	5435.74	40778.29	134.71	0.1642,7.0862,3.4933,0.1922,0.7149
anc_sym_mig	Round_1_Replicate_4	-1046.74	2103.48	3696.07	394.64	0.6768,0.1737,0.5071,0.566,0.226
anc_sym_mig	Round_1_Replicate_5	-2413.67	4837.34	3714468.99	110.95	3.6614,0.48,1.3951,0.1533,3.9003
anc_sym_mig	Round_1_Replicate_6	-1092.8	2195.6	2245.63	259.99	1.6381,0.4142,0.164,0.1698,0.3981
anc_sym_mig	Round_1_Replicate_7	-2042.94	4095.88	32958.97	114.25	4.2574,0.9693,4.4212,3.5664,0.4477
anc_sym_mig	Round_1_Replicate_8	-2142.46	4294.92	53102.86	117.03	7.2117,0.3811,0.1346,0.647,1.4029
anc_sym_mig	Round_1_Replicate_9	-2352.13	4714.26	188297.32	174.25	3.9364,0.1976,1.0316,0.2977,1.1359
anc_sym_mig	Round_1_Replicate_10	-1180.68	2371.36	11616.41	60.79	3.8207,3.6814,0.5642,0.4239,5.433
anc_sym_mig	Round_2_Replicate_1	-713.84	1437.68	1035.55	438.45	0.4173,0.2716,1.6675,0.4638,0.1877
anc_sym_mig	Round_2_Replicate_2	-1178.09	2366.18	2689.06	351.46	0.2313,0.7228,1.2924,0.231,0.1122
anc_sym_mig	Round_2_Replicate_3	-3293.65	6597.3	950548.61	231.78	0.8712,1.6216,2.3393,0.2277,0.1131
anc_sym_mig	Round_2_Replicate_4	-1757.04	3524.08	7358.0	433.28	0.09,0.6876,11.9801,0.1513,0.079
anc_sym_mig	Round_2_Replicate_5	-747.78	1505.56	1439.56	314.47	0.5375,0.5511,3.3866,0.2468,0.5839
anc_sym_mig	Round_2_Replicate_6	-2686.76	5383.52	173265.89	261.1	0.5026,1.5301,3.8641,0.1486,0.1239
anc_sym_mig	Round_2_Replicate_7	-751.55	1513.1	1907.83	738.45	0.2461,0.1618,18.0662,0.6082,0.2784
anc_sym_mig	Round_2_Replicate_8	-683.34	1376.68	931.12	512.52	0.2683,0.2827,7.3298,0.3663,0.2436
anc_sym_mig	Round_2_Replicate_9	-1233.75	2477.5	2685.69	395.77	0.1475,0.6378,1.0369,0.6397,0.0611
anc_sym_mig	Round_2_Replicate_10	-1078.86	2167.72	3169.03	285.08	1.3086,0.2873,10.434,0.3168,0.6425
anc_sym_mig	Round_2_Replicate_11	-2702.92	5415.84	271589.17	308.12	0.4896,0.7513,10.3762,0.3455,0.1011
anc_sym_mig	Round_2_Replicate_12	-1352.17	2714.34	5839.2	342.78	1.2421,0.1637,9.6413,0.3314,0.4842
anc_sym_mig	Round_2_Replicate_13	-751.57	1513.14	1128.01	443.55	0.4352,0.2628,10.9352,0.2804,0.2689
anc_sym_mig	Round_2_Replicate_14	-1580.15	3170.3	5099.23	359.71	0.1291,0.8758,4.1835,0.1463,0.111
anc_sym_mig	Round_2_Replicate_15	-1881.76	3773.52	171478.41	568.82	0.1181,0.2634,1.2735,0.2191,0.5329
anc_sym_mig	Round_2_Replicate_16	-2888.88	5787.76	415757.78	261.88	0.9789,0.9896,2.1193,0.1917,0.1063
anc_sym_mig	Round_2_Replicate_17	-1775.65	3561.3	7076.77	484.39	0.0805,0.6699,3.8909,0.5598,0.0591
anc_sym_mig	Round_2_Replicate_18	-1188.33	2386.66	17018.91	603.07	0.2198,0.2455,8.5277,0.7388,0.5836
anc_sym_mig	Round_2_Replicate_19	-897.54	1805.08	1671.69	431.06	0.6154,0.2151,2.5938,1.2166,0.2177
anc_sym_mig	Round_2_Replicate_20	-788.52	1587.04	1101.52	484.63	0.2668,0.35,3.2065,0.7463,0.1729
anc_sym_mig	Round_3_Replicate_1	-828.36	1666.72	1817.9	380.43	0.6727,0.2737,18.9632,0.5346,0.4794
anc_sym_mig	Round_3_Replicate_2	-756.07	1522.14	1374.84	334.95	0.4253,0.5608,3.1924,0.2063,0.5038
anc_sym_mig	Round_3_Replicate_3	-707.03	1424.06	956.98	1161.36	0.1233,0.138,4.3943,1.358,0.0783
anc_sym_mig	Round_3_Replicate_4	-813.05	1636.1	1526.88	270.47	0.5191,0.7899,3.1761,0.5545,0.6409
anc_sym_mig	Round_3_Replicate_5	-919.8	1849.6	1733.06	487.45	0.4105,0.1566,26.7128,0.0918,0.1562
anc_sym_mig	Round_3_Replicate_6	-1445.61	2901.22	28620.28	333.71	0.8778,0.2037,11.7163,0.1405,0.9027
anc_sym_mig	Round_3_Replicate_7	-692.51	1395.02	982.46	863.9	0.1592,0.1812,4.4139,0.9437,0.1283
anc_sym_mig	Round_3_Replicate_8	-795.41	1600.82	1234.29	405.62	0.5095,0.3377,11.1363,1.5327,0.3171
anc_sym_mig	Round_3_Replicate_9	-712.38	1434.76	1079.57	396.33	0.4063,0.399,9.0814,0.5565,0.3925
anc_sym_mig	Round_3_Replicate_10	-703.15	1416.3	1142.9	433.1	0.3422,0.3697,11.9012,0.503,0.3864
anc_sym_mig	Round_3_Replicate_11	-889.52	1789.04	2854.11	642.9	0.2473,0.1129,3.0218,0.1689,0.2123
