Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_1_Replicate_1	-1286.41	2586.82	2670.13	272.9	0.1955,0.1771,3.4964,1.297,0.5743,1.9867,0.2507
anc_sym_mig_size	Round_1_Replicate_2	-1559.23	3132.46	6008.2	90.75	0.314,0.2743,5.3746,2.6471,1.7897,7.7582,2.1489
anc_sym_mig_size	Round_1_Replicate_3	-1347.55	2709.1	3146.83	108.32	0.376,2.3223,2.4984,6.0535,0.1247,4.6326,0.1344
anc_sym_mig_size	Round_1_Replicate_4	-1957.58	3929.16	13420.22	160.17	0.4915,0.894,0.7544,4.3559,2.7057,1.3488,0.413
anc_sym_mig_size	Round_1_Replicate_5	-2219.3	4452.6	4598781.76	92.87	1.9476,6.614,0.9811,2.1915,5.4833,0.3695,6.4246
anc_sym_mig_size	Round_1_Replicate_6	-1101.7	2217.4	5626.79	405.13	3.3695,0.1257,0.4248,0.1819,0.5369,0.4354,0.2736
anc_sym_mig_size	Round_1_Replicate_7	-1948.71	3911.42	7818.55	77.18	1.8402,6.1186,0.1617,3.6905,1.3427,6.7433,0.3564
anc_sym_mig_size	Round_1_Replicate_8	-1129.08	2272.16	7291.79	128.97	3.7562,5.293,2.7094,0.9605,1.0562,0.3064,2.2625
anc_sym_mig_size	Round_1_Replicate_9	-952.08	1918.16	5841.99	285.7	0.6436,4.0637,0.7065,0.4197,4.5774,0.4064,1.0016
anc_sym_mig_size	Round_1_Replicate_10	-1925.1	3864.2	86404.41	154.81	0.8914,0.6154,2.719,0.2643,0.4441,6.4282,1.3556
anc_sym_mig_size	Round_2_Replicate_1	-1151.38	2316.76	16937.25	145.03	0.9039,11.1487,1.0579,1.4882,9.7867,0.1304,2.6399
anc_sym_mig_size	Round_2_Replicate_2	-780.08	1574.16	1310.59	244.3	1.9765,2.5607,0.6178,0.3244,3.2854,1.166,0.3031
anc_sym_mig_size	Round_2_Replicate_3	-1734.35	3482.7	107645.29	183.66	0.8253,3.9709,0.3607,1.5069,17.5465,0.3323,1.87
anc_sym_mig_size	Round_2_Replicate_4	-897.37	1808.74	1461.33	308.58	1.2781,1.0478,0.2096,0.6602,4.5135,0.5868,0.2973
anc_sym_mig_size	Round_2_Replicate_5	-2799.93	5613.86	12477718.59	372.23	1.825,10.1426,0.2116,0.2476,7.767,0.6265,1.3638
anc_sym_mig_size	Round_2_Replicate_6	-2660.75	5335.5	15125053.67	245.39	0.3509,13.7891,0.2243,0.7745,12.1299,1.322,2.0439
anc_sym_mig_size	Round_2_Replicate_7	-1472.42	2958.84	7477.52	192.56	0.7857,2.2356,2.5763,0.5654,3.2269,1.071,0.3543
anc_sym_mig_size	Round_2_Replicate_8	-1106.24	2226.48	2255.79	287.05	0.1962,16.6586,0.3036,0.8389,4.2236,1.3956,0.3119
anc_sym_mig_size	Round_2_Replicate_9	-1794.01	3602.02	86262.71	434.55	1.5978,11.6105,0.2342,0.1835,4.2565,0.7439,0.7326
anc_sym_mig_size	Round_2_Replicate_10	-2767.14	5548.28	34935694.87	148.77	0.3401,4.1829,0.3531,1.6278,3.123,0.7262,3.4092
anc_sym_mig_size	Round_2_Replicate_11	-966.94	1947.88	5717.69	304.35	0.7216,6.9144,0.7316,0.3741,11.706,0.1269,0.9535
anc_sym_mig_size	Round_2_Replicate_12	-1414.45	2842.9	5414.54	244.99	2.0748,5.3708,0.4132,1.3292,4.6005,0.1432,0.3101
anc_sym_mig_size	Round_2_Replicate_13	-3018.69	6051.38	141250734.26	293.95	0.3526,6.4591,0.465,0.2563,1.6047,0.1519,2.2723
anc_sym_mig_size	Round_2_Replicate_14	-1592.58	3199.16	146759.4	227.85	1.1178,2.53,0.7494,0.5022,17.3077,0.4619,2.1076
anc_sym_mig_size	Round_2_Replicate_15	-960.6	1935.2	2565.3	314.18	2.1693,1.3283,0.5845,0.1463,16.199,0.9147,0.3034
anc_sym_mig_size	Round_2_Replicate_16	-4819.96	9653.92	1.5515501455e+12	261.02	1.8372,13.2055,0.3323,0.2431,17.6321,0.1698,3.2584
anc_sym_mig_size	Round_2_Replicate_17	-815.76	1645.52	1541.99	318.94	0.3281,8.8923,0.8803,0.331,5.4298,0.267,0.4875
anc_sym_mig_size	Round_2_Replicate_18	-663.48	1340.96	1361.28	364.63	1.2288,2.4025,0.2925,0.23,14.4895,0.922,0.3458
anc_sym_mig_size	Round_2_Replicate_19	-763.6	1541.2	2144.02	510.7	0.2403,1.4575,0.3027,0.1812,3.9489,0.6886,0.3324
