Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-3964.46	7938.92	4140819.49	236.3	3.5394,0.973,0.139,0.196,0.2427
asym_mig	Round_1_Replicate_2	-3304.27	6618.54	284331.28	88.61	0.1758,4.8739,5.1954,0.3964,5.4058
asym_mig	Round_1_Replicate_3	-7557.27	15124.54	15291367378.1	52.58	2.4916,7.0629,2.8709,0.3401,6.9998
asym_mig	Round_1_Replicate_4	-3415.52	6841.04	1282881.1	130.41	2.2599,3.0127,0.4352,0.2567,0.981
asym_mig	Round_1_Replicate_5	-3244.91	6499.82	228775.27	142.47	0.3352,4.9253,0.3249,0.8201,1.3429
asym_mig	Round_1_Replicate_6	-4866.3	9742.6	22304646.39	477.39	5.6153,0.2201,6.4825,1.1059,1.2182
asym_mig	Round_1_Replicate_7	-3996.2	8002.4	5066283.1	238.55	0.7442,1.6471,0.2469,1.7775,0.3448
asym_mig	Round_1_Replicate_8	-3571.81	7153.62	1168063.73	262.71	3.5328,0.2992,2.4485,0.9461,2.4338
asym_mig	Round_1_Replicate_9	-8650.43	17310.86	1.39324687707e+11	94.12	7.3898,1.6203,3.9989,1.9076,6.8847
asym_mig	Round_1_Replicate_10	-2630.7	5271.4	22957.47	88.57	0.2161,6.0401,0.2403,0.3028,4.6127
asym_mig	Round_2_Replicate_1	-1794.07	3598.14	6679.18	131.49	0.3047,2.8872,0.1296,0.239,3.181
asym_mig	Round_2_Replicate_2	-2198.09	4406.18	13858.17	47.33	0.439,9.4987,0.4543,0.1064,9.8147
asym_mig	Round_2_Replicate_3	-2607.64	5225.28	11903.38	59.89	0.3063,16.0042,0.3001,0.0907,2.8399
asym_mig	Round_2_Replicate_4	-3208.9	6427.8	33683.65	58.51	0.1022,8.0467,0.0898,0.2011,16.4868
asym_mig	Round_2_Replicate_5	-3065.58	6141.16	75987.14	52.98	0.4656,11.009,0.1093,0.3009,19.847
asym_mig	Round_2_Replicate_6	-4212.93	8435.86	199791.43	131.11	0.1262,11.7238,0.0669,1.1544,1.6783
asym_mig	Round_2_Replicate_7	-773.72	1557.44	1008.21	117.97	0.779,1.818,0.1108,0.0723,5.6952
asym_mig	Round_2_Replicate_8	-2613.29	5236.58	19023.31	178.61	0.1068,2.8733,0.187,0.5345,1.6406
asym_mig	Round_2_Replicate_9	-2371.64	4753.28	11335.04	150.72	0.0912,4.0425,0.1447,0.1189,1.2271
asym_mig	Round_2_Replicate_10	-1868.68	3747.36	12143.99	173.45	0.2748,1.8068,0.9036,0.4221,3.4217
asym_mig	Round_2_Replicate_11	-3602.38	7214.76	64794.13	101.23	0.1249,8.6694,0.1174,0.6289,3.954
asym_mig	Round_2_Replicate_12	-2432.33	4874.66	12973.03	160.15	0.0967,3.7558,0.4955,0.3069,1.236
asym_mig	Round_2_Replicate_13	-1743.93	3497.86	6230.55	64.68	0.4115,4.6254,0.1357,0.1165,15.8164
asym_mig	Round_2_Replicate_14	-4284.93	8579.86	714137.31	97.39	0.2529,15.1513,0.3559,1.05,13.2061
asym_mig	Round_2_Replicate_15	-3169.54	6349.08	35471.42	155.99	0.0924,4.1172,0.0831,0.6717,2.0007
asym_mig	Round_2_Replicate_16	-3055.99	6121.98	105672.03	108.6	0.3387,7.3686,0.9062,0.4422,1.5189
asym_mig	Round_2_Replicate_17	-2889.46	5788.92	22676.83	89.23	0.1122,6.1996,0.1578,0.2584,4.466
