Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_1_Replicate_1	-1715.92	3447.84	10095.5	272.5	4.4876,1.5594,1.4659,0.2468,0.9244,0.1972,0.1508,2.4773
asym_mig_size	Round_1_Replicate_2	-1627.43	3270.86	3791.98	263.41	0.3155,0.1606,0.4829,7.8391,0.2886,0.123,1.0988,0.1862
asym_mig_size	Round_1_Replicate_3	-2889.99	5795.98	164949.1	95.4	0.2172,3.8612,0.4164,3.9238,1.9616,0.3104,1.6931,3.6085
asym_mig_size	Round_1_Replicate_4	-2339.9	4695.8	93641.74	254.61	5.8269,6.4527,0.7353,0.5889,0.6075,1.6972,0.4171,3.5475
asym_mig_size	Round_1_Replicate_5	-4747.88	9511.76	28600405.18	260.56	1.3252,1.8983,1.5758,0.3089,1.6423,6.4172,0.1401,0.5453
asym_mig_size	Round_1_Replicate_6	-4365.41	8746.82	6322489.59	418.24	1.6229,3.6875,4.7603,0.2752,4.4544,0.1808,2.2131,2.1969
asym_mig_size	Round_1_Replicate_7	-1559.72	3135.44	6648.45	353.89	0.3609,0.5654,0.1534,0.8564,2.4972,0.4264,3.8049,0.697
asym_mig_size	Round_1_Replicate_8	-3002.35	6020.7	443177.0	388.62	1.8289,0.3708,0.7862,0.2096,3.8883,1.8807,0.2904,0.2506
asym_mig_size	Round_1_Replicate_9	-1088.59	2193.18	2768.4	1074.63	0.141,0.479,0.1696,0.1182,0.4377,3.4495,4.7446,0.1585
asym_mig_size	Round_1_Replicate_10	-2514.17	5044.34	142789.7	423.54	0.6237,0.5578,0.3733,0.4023,1.5769,2.6517,0.2916,5.1045
asym_mig_size	Round_2_Replicate_1	-1054.86	2125.72	2277.78	621.14	0.2943,0.1327,0.4916,0.1674,1.1512,1.2441,1.6534,0.0408
asym_mig_size	Round_2_Replicate_2	-2877.71	5771.42	81450.05	629.13	0.3931,1.5179,0.0465,0.4187,0.5045,5.0777,17.0269,0.1314
asym_mig_size	Round_2_Replicate_3	-895.92	1807.84	1446.22	1632.64	0.0697,0.2267,0.2333,0.0427,0.3992,4.3585,1.6111,0.1195
asym_mig_size	Round_2_Replicate_4	-1348.16	2712.32	5768.39	627.39	0.4368,0.1205,0.3028,0.1782,0.4076,3.0939,3.2335,0.2495
asym_mig_size	Round_2_Replicate_5	-2685.46	5386.92	277861.31	857.32	0.3109,1.7173,0.2418,0.1789,0.1452,7.8886,8.0865,0.1413
asym_mig_size	Round_2_Replicate_6	-749.63	1515.26	1183.26	831.34	0.08,1.0764,0.2457,0.0583,0.3848,1.2922,13.3031,0.0914
asym_mig_size	Round_2_Replicate_7	-1023.42	2062.84	1953.85	483.39	0.1445,0.3192,0.2498,0.3759,0.449,0.9424,4.8311,0.3185
asym_mig_size	Round_2_Replicate_8	-977.23	1970.46	2047.95	989.14	0.0781,0.309,0.1066,0.064,0.1993,1.0483,1.4747,0.3985
asym_mig_size	Round_2_Replicate_9	-882.5	1781.0	1438.25	1199.97	0.0792,0.3731,0.1323,0.0978,0.5776,2.7515,1.7482,0.123
asym_mig_size	Round_2_Replicate_10	-781.04	1578.08	1590.24	684.44	0.3839,0.653,0.0985,0.061,1.163,1.0502,9.9838,0.1627
asym_mig_size	Round_2_Replicate_11	-838.21	1692.42	1246.83	1697.75	0.2797,0.3972,0.0645,0.0695,0.6267,3.1852,4.0539,0.6183
asym_mig_size	Round_2_Replicate_12	-756.23	1528.46	1282.22	711.02	0.0445,1.658,0.2318,0.0711,0.559,0.9642,4.0933,0.1537
asym_mig_size	Round_2_Replicate_13	-755.66	1527.32	1148.8	813.2	0.0349,0.39,0.2562,0.0922,0.6317,1.0755,1.2367,0.1417
asym_mig_size	Round_2_Replicate_14	-2859.74	5735.48	238645.16	1054.46	0.0413,0.1489,0.5163,0.1267,1.6373,7.3648,7.0207,0.1861
asym_mig_size	Round_2_Replicate_15	-2979.63	5975.26	548864.19	780.72	0.4314,0.6026,0.238,0.2057,0.3215,8.3258,6.1146,0.2824
asym_mig_size	Round_2_Replicate_16	-843.41	1702.82	1481.0	988.74	0.1997,0.6713,0.2672,0.0583,0.4343,2.8565,3.9614,0.4385
asym_mig_size	Round_2_Replicate_17	-765.03	1546.06	1490.5	1219.96	0.0767,0.3479,0.1126,0.0497,1.1862,1.3676,17.2394,0.2473
asym_mig_size	Round_2_Replicate_18	-760.25	1536.5	1340.58	959.13	0.5441,0.2636,0.1349,0.0418,0.1304,4.016,3.2558,0.1224
asym_mig_size	Round_2_Replicate_19	-2592.99	5201.98	204600.34	889.42	0.0628,1.2571,0.2037,0.3117,0.2252,4.6857,2.0785,0.2464
asym_mig_size	Round_2_Replicate_20	-1371.79	2759.58	4606.44	657.88	0.1076,0.6632,0.5954,0.1064,1.0568,2.3464,5.9634,0.3646
asym_mig_size	Round_3_Replicate_1	-981.02	1978.04	1752.74	1346.0	0.028,0.2853,0.3681,0.0469,0.5079,2.5953,24.3766,0.119
asym_mig_size	Round_3_Replicate_2	-1152.63	2321.26	2943.06	799.93	0.0389,1.1352,0.6983,0.0496,0.2415,1.1467,23.3355,0.079
asym_mig_size	Round_3_Replicate_3	-679.29	1374.58	967.57	332.05	0.2308,1.3656,0.3065,0.2034,0.3763,0.4293,19.7819,0.3183
asym_mig_size	Round_3_Replicate_4	-1739.95	3495.9	6677.62	574.08	0.0238,1.6918,0.1195,0.0231,0.2306,0.4539,27.8703,0.0588
asym_mig_size	Round_3_Replicate_5	-842.93	1701.86	1372.75	1433.73	0.0654,0.4253,0.0709,0.0451,0.3272,2.5209,24.9786,0.0378
asym_mig_size	Round_3_Replicate_6	-1669.62	3355.24	6576.32	462.8	0.0547,3.2835,0.0765,0.0574,0.1083,0.4099,18.426,0.1376
asym_mig_size	Round_3_Replicate_7	-1403.37	2822.74	5414.83	636.58	0.0667,0.2873,0.5278,0.0325,0.1504,0.7324,8.1003,0.3319
asym_mig_size	Round_3_Replicate_8	-1290.8	2597.6	3876.11	535.57	0.1873,0.2658,0.1452,0.0431,0.1148,0.4497,9.7174,0.0684
asym_mig_size	Round_3_Replicate_9	-958.41	1932.82	1970.91	406.14	0.024,1.6466,0.4714,0.0815,0.9158,0.4225,8.4494,0.101
asym_mig_size	Round_3_Replicate_10	-1225.95	2467.9	3663.51	989.12	0.1747,0.4786,0.5343,0.0246,0.317,3.1457,27.8703,0.1819
asym_mig_size	Round_3_Replicate_11	-1074.22	2164.44	2869.91	906.8	0.0601,0.2888,0.1376,0.0457,0.4245,0.7362,7.67,0.2145
asym_mig_size	Round_3_Replicate_12	-800.28	1616.56	1209.9	1238.74	0.2292,1.8926,0.179,0.0567,0.2646,3.889,4.6805,0.2368
asym_mig_size	Round_3_Replicate_13	-1172.29	2360.58	3672.89	717.12	0.1948,0.8927,0.736,0.0286,0.3756,1.4218,3.8104,0.0941
asym_mig_size	Round_3_Replicate_14	-1036.83	2089.66	2363.39	1030.82	0.0314,1.0039,0.1002,0.0538,0.1551,1.3207,24.4097,0.0727
asym_mig_size	Round_3_Replicate_15	-845.41	1706.82	1398.22	314.44	0.0764,2.3036,0.7023,0.0486,1.2247,0.4374,14.0519,0.0517
asym_mig_size	Round_3_Replicate_16	-1088.78	2193.56	2445.9	323.01	0.0522,1.6702,0.0837,0.1398,1.4898,0.4574,25.0342,0.057
asym_mig_size	Round_3_Replicate_17	-809.51	1635.02	1392.68	434.28	0.0488,2.4234,0.1909,0.1248,0.3941,0.5633,23.9408,0.1822
asym_mig_size	Round_3_Replicate_18	-768.85	1553.7	1351.97	951.32	0.1126,0.3395,0.1002,0.0237,0.2602,1.2349,8.9368,0.02
asym_mig_size	Round_3_Replicate_19	-1519.52	3055.04	6623.81	345.53	0.0613,3.3896,0.8089,0.025,0.1015,0.3187,5.1391,0.0308
asym_mig_size	Round_3_Replicate_20	-836.83	1689.66	1414.52	691.18	0.0698,0.2592,0.2039,0.1275,0.1392,0.8533,23.5744,0.2144
asym_mig_size	Round_3_Replicate_21	-873.84	1763.68	1363.37	1413.17	0.0955,0.3229,0.5656,0.0291,0.2202,3.218,21.8054,0.0353
asym_mig_size	Round_3_Replicate_22	-1552.63	3121.26	11045.38	816.67	0.1613,2.7441,0.1519,0.143,0.1514,3.3294,21.9689,0.0625
asym_mig_size	Round_3_Replicate_23	-823.48	1662.96	1370.96	236.01	0.0544,3.4086,0.1504,0.0483,1.5045,0.3397,25.3864,0.0394
asym_mig_size	Round_3_Replicate_24	-691.17	1398.34	1004.68	1875.04	0.0648,0.2858,0.1301,0.0177,1.2778,3.678,29.3595,0.0214
asym_mig_size	Round_3_Replicate_25	-681.27	1378.54	910.21	291.89	0.3437,0.7263,0.1416,0.1701,0.2914,0.3406,12.1341,0.046
asym_mig_size	Round_3_Replicate_26	-812.55	1641.1	1220.29	835.84	0.0339,0.6349,0.3787,0.0954,0.3967,1.569,13.8969,0.2515
asym_mig_size	Round_3_Replicate_27	-899.81	1815.62	1825.19	1210.29	0.1879,1.4995,0.1938,0.0277,1.1866,4.8405,26.1959,0.0589
asym_mig_size	Round_3_Replicate_28	-1268.79	2553.58	3066.03	995.16	0.0643,0.6651,0.617,0.037,0.8644,2.59,6.0281,0.1776
asym_mig_size	Round_3_Replicate_29	-795.4	1606.8	1348.54	566.36	0.0635,2.305,0.3449,0.0636,0.5555,0.882,9.3496,0.0919
asym_mig_size	Round_3_Replicate_30	-727.32	1470.64	1132.7	1315.91	0.2574,0.8769,0.105,0.0512,0.6558,2.6671,20.269,0.3516
asym_mig_size	Round_4_Replicate_1	-768.21	1552.42	1300.96	255.21	0.1322,2.1429,0.4971,0.1737,0.2684,0.2784,23.7771,0.2435
asym_mig_size	Round_4_Replicate_2	-699.02	1414.04	991.56	402.35	0.1858,1.565,0.4378,0.1812,0.2165,0.651,23.7643,0.3706
asym_mig_size	Round_4_Replicate_3	-929.71	1875.42	1878.44	337.4	0.201,2.5391,0.2348,0.178,0.1804,0.3601,26.035,0.5904
asym_mig_size	Round_4_Replicate_4	-743.7	1503.4	1208.93	306.43	0.2917,1.6107,0.2485,0.2425,0.3644,0.3199,26.035,0.5912
asym_mig_size	Round_4_Replicate_5	-677.85	1371.7	989.08	328.89	0.2859,0.7013,0.4352,0.1884,0.5446,0.2562,24.2568,0.1639
asym_mig_size	Round_4_Replicate_6	-907.95	1831.9	1746.98	197.2	0.2385,1.6094,0.2108,0.3582,0.2441,0.2011,25.3534,0.1711
asym_mig_size	Round_4_Replicate_7	-714.08	1444.16	1097.22	232.81	0.396,1.2324,0.2908,0.2563,0.2187,0.24,17.5973,0.2382
asym_mig_size	Round_4_Replicate_8	-817.7	1651.4	1225.8	272.63	0.3176,2.5895,0.4822,0.3218,0.2114,0.5926,11.3721,0.3224
asym_mig_size	Round_4_Replicate_9	-677.67	1371.34	969.75	293.89	0.2365,0.7695,0.3841,0.2764,0.3253,0.2616,12.9069,0.2948
asym_mig_size	Round_4_Replicate_10	-674.63	1365.26	979.49	430.25	0.2785,2.1877,0.2442,0.1299,0.3561,0.7423,22.7408,0.2439
asym_mig_size	Round_4_Replicate_11	-697.91	1411.82	967.78	380.11	0.2703,2.1711,0.3916,0.214,0.2119,0.6564,16.894,0.5774
asym_mig_size	Round_4_Replicate_12	-875.33	1766.66	1803.83	335.4	0.3881,0.9064,0.297,0.1648,0.1724,0.3484,23.9991,0.5316
asym_mig_size	Round_4_Replicate_13	-813.96	1643.92	1199.5	273.34	0.269,1.3834,0.5022,0.3111,0.5145,0.4991,11.7082,0.2907
asym_mig_size	Round_4_Replicate_14	-874.45	1764.9	1806.78	325.01	0.0999,0.9036,0.3327,0.1858,0.2199,0.2494,25.1497,0.5508
asym_mig_size	Round_4_Replicate_15	-827.64	1671.28	1455.97	303.89	0.2008,1.6763,0.1946,0.2457,0.3116,0.3006,20.4892,0.4645
asym_mig_size	Round_4_Replicate_16	-738.76	1493.52	1057.75	323.62	0.2683,1.3593,0.2494,0.2138,0.2643,0.494,22.3756,0.2062
asym_mig_size	Round_4_Replicate_17	-699.89	1415.78	1021.61	270.95	0.1448,2.7724,0.2343,0.1262,0.6769,0.361,21.2997,0.1554
asym_mig_size	Round_4_Replicate_18	-638.12	1292.24	846.19	290.36	0.3199,1.1895,0.2581,0.2112,0.6474,0.2065,25.8074,0.1989
asym_mig_size	Round_4_Replicate_19	-752.53	1521.06	1162.41	252.64	0.1489,2.6156,0.3308,0.2986,0.2335,0.3154,24.6973,0.4873
asym_mig_size	Round_4_Replicate_20	-725.7	1467.4	986.41	273.88	0.4158,1.4127,0.5909,0.2489,0.3058,0.553,10.6895,0.2955
asym_mig_size	Round_4_Replicate_21	-750.76	1517.52	1004.15	333.7	0.1968,2.1327,0.3208,0.3143,0.3394,0.5688,21.112,0.626
asym_mig_size	Round_4_Replicate_22	-736.24	1488.48	1073.02	308.8	0.1106,2.506,0.603,0.2311,0.3774,0.4972,10.6699,0.4814
asym_mig_size	Round_4_Replicate_23	-1032.11	2080.22	2379.98	274.33	0.322,2.5302,0.5187,0.3143,0.6134,0.8232,12.7662,0.3215
asym_mig_size	Round_4_Replicate_24	-678.96	1373.92	965.55	372.79	0.2321,0.7027,0.2657,0.2341,0.4136,0.3723,24.8207,0.379
asym_mig_size	Round_4_Replicate_25	-714.98	1445.96	1093.87	284.0	0.2389,2.3134,0.2647,0.2335,0.4057,0.3491,26.035,0.4591
asym_mig_size	Round_4_Replicate_26	-675.85	1367.7	960.05	244.81	0.3784,2.4969,0.3839,0.2254,0.2384,0.3698,25.3545,0.3298
asym_mig_size	Round_4_Replicate_27	-735.55	1487.1	1071.54	207.38	0.399,1.9165,0.5555,0.3143,0.5276,0.2624,18.9201,0.4151
asym_mig_size	Round_4_Replicate_28	-797.32	1610.64	1163.68	392.62	0.3337,1.3398,0.2051,0.227,0.2465,0.7403,17.2433,0.2628
asym_mig_size	Round_4_Replicate_29	-860.76	1737.52	1655.56	289.25	0.1294,1.0729,0.3042,0.1903,0.218,0.2263,27.5026,0.2664
asym_mig_size	Round_4_Replicate_30	-653.88	1323.76	905.12	283.48	0.3775,1.4584,0.2775,0.1896,0.6284,0.3089,7.1727,0.2258
asym_mig_size	Round_4_Replicate_31	-669.24	1354.48	876.82	356.16	0.2966,0.988,0.2575,0.2028,0.476,0.4983,11.2806,0.2427
asym_mig_size	Round_4_Replicate_32	-687.11	1390.22	945.04	380.8	0.1977,2.3381,0.3918,0.1708,0.2836,0.6483,10.2015,0.2888
asym_mig_size	Round_4_Replicate_33	-834.22	1684.44	1418.92	323.03	0.153,1.7759,0.2022,0.2229,0.2726,0.4293,26.1281,0.25
asym_mig_size	Round_4_Replicate_34	-828.15	1672.3	1512.05	284.68	0.1395,2.7049,0.1682,0.2143,0.5614,0.2276,23.2068,0.5186
asym_mig_size	Round_4_Replicate_35	-758.7	1533.4	1249.09	320.98	0.4379,1.0797,0.5002,0.1405,0.5287,0.6582,20.6603,0.1909
asym_mig_size	Round_4_Replicate_36	-683.68	1383.36	951.55	220.32	0.336,2.4307,0.4444,0.1465,0.5657,0.3575,17.3353,0.1542
asym_mig_size	Round_4_Replicate_37	-697.35	1410.7	1039.44	293.46	0.2856,1.2298,0.2688,0.2533,0.3677,0.2936,25.3038,0.3877
asym_mig_size	Round_4_Replicate_38	-693.25	1402.5	981.82	398.48	0.4024,1.9427,0.2725,0.1657,0.4191,0.799,20.5225,0.3676
asym_mig_size	Round_4_Replicate_39	-690.42	1396.84	951.09	510.98	0.1762,0.8687,0.2089,0.1764,0.7446,0.651,16.0227,0.4871
asym_mig_size	Round_4_Replicate_40	-865.47	1746.94	1661.33	359.89	0.1106,0.7264,0.264,0.1647,0.2289,0.296,24.0694,0.2155
