Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12a, m21a, m12b, m21b, T1, T2)
asym_mig_twoepoch	Round_1_Replicate_1	-3170.43	6356.86	406687.09	215.69	2.6286,0.1977,1.1236,0.2695,0.6883,4.688,1.8588,0.3608
asym_mig_twoepoch	Round_1_Replicate_2	-1359.11	2734.22	6277.21	352.79	0.6447,0.3291,0.9333,0.4475,1.4819,0.1636,1.6516,0.4271
asym_mig_twoepoch	Round_1_Replicate_3	-4116.8	8249.6	4073245.89	94.49	0.6324,4.841,3.531,0.2629,3.254,0.1576,1.69,1.3146
asym_mig_twoepoch	Round_1_Replicate_4	-2759.97	5535.94	73480.63	308.44	3.4221,0.1549,5.5166,0.8191,1.8439,0.5904,0.2876,0.7819
asym_mig_twoepoch	Round_1_Replicate_5	-2187.0	4390.0	20768.19	123.18	4.5102,0.292,0.2696,4.7736,0.5526,0.3591,3.508,3.6158
asym_mig_twoepoch	Round_1_Replicate_6	-4051.72	8119.44	6821817.54	248.43	0.5623,1.1882,1.3713,0.3063,0.7142,2.6485,0.9729,4.0745
asym_mig_twoepoch	Round_1_Replicate_7	-1152.24	2320.48	3791.8	994.56	0.1391,0.204,1.3478,1.0295,4.4397,0.3068,0.1438,4.3112
asym_mig_twoepoch	Round_1_Replicate_8	-4335.09	8686.18	5479810.97	539.06	3.8726,0.1764,3.3442,7.7427,6.2897,0.5062,1.0295,0.9118
asym_mig_twoepoch	Round_1_Replicate_9	-2386.85	4789.7	47270.53	223.95	1.7712,0.1266,0.4147,2.7146,0.4985,4.841,0.3788,2.7977
asym_mig_twoepoch	Round_1_Replicate_10	-3064.12	6144.24	569946.6	291.07	1.3207,0.3632,0.4502,1.479,2.6011,0.9639,0.4571,0.348
asym_mig_twoepoch	Round_2_Replicate_1	-700.77	1417.54	986.99	1036.4	0.1252,0.1235,0.8375,1.2864,1.8874,0.2022,0.0445,9.5226
asym_mig_twoepoch	Round_2_Replicate_2	-2326.79	4669.58	52375.98	423.66	0.114,0.7296,0.9097,2.8172,8.1278,0.2991,0.0481,2.4238
asym_mig_twoepoch	Round_2_Replicate_3	-1134.43	2284.86	2084.93	399.79	0.0744,0.7615,0.491,1.221,2.499,0.0741,0.1912,7.079
asym_mig_twoepoch	Round_2_Replicate_4	-1003.08	2022.16	2098.88	736.62	0.163,0.2105,2.4797,1.6658,2.173,1.0892,0.1043,1.1453
asym_mig_twoepoch	Round_2_Replicate_5	-1813.24	3642.48	10740.7	445.1	0.0765,0.7312,0.4684,0.3791,7.3072,0.1434,0.1434,5.7183
