Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-2734.23	5474.46	984669.45	104.36	7.9867,0.325,2.51
no_mig	Round_1_Replicate_2	-1063.46	2132.92	2564.44	384.88	0.6324,0.2537,0.2134
no_mig	Round_1_Replicate_3	-4929.69	9865.38	3.26811176317e+12	267.11	0.1979,0.3904,3.1466
no_mig	Round_1_Replicate_4	-3156.62	6319.24	368557030.11	131.7	0.3966,1.7442,4.5851
no_mig	Round_1_Replicate_5	-3860.72	7727.44	1311257180.16	94.18	0.2492,4.5153,3.5683
no_mig	Round_1_Replicate_6	-8626.67	17259.34	2.1908479945e+21	238.45	0.177,0.2279,4.3921
no_mig	Round_1_Replicate_7	-5331.76	10669.52	5.44612207558e+13	202.21	1.0986,0.155,3.5928
no_mig	Round_1_Replicate_8	-1602.51	3211.02	9311.26	114.45	0.6208,4.3201,1.7812
no_mig	Round_1_Replicate_9	-2232.19	4470.38	15675.46	176.44	0.4767,5.6344,0.4033
no_mig	Round_1_Replicate_10	-1121.67	2249.34	5800.26	90.77	2.2112,2.8879,3.3348
no_mig	Round_2_Replicate_1	-1774.44	3554.88	21845.1	322.42	0.4625,0.7357,0.1923
no_mig	Round_2_Replicate_2	-828.63	1663.26	1420.99	298.66	0.455,0.7492,0.5993
no_mig	Round_2_Replicate_3	-701.69	1409.38	1171.55	492.83	0.3257,0.1676,0.2357
no_mig	Round_2_Replicate_4	-1230.13	2466.26	2917.25	213.32	2.3273,0.5982,0.6966
no_mig	Round_2_Replicate_5	-636.19	1278.38	952.72	525.37	0.2373,0.1763,0.2208
no_mig	Round_2_Replicate_6	-646.97	1299.94	969.42	543.58	0.2226,0.1469,0.1829
no_mig	Round_2_Replicate_7	-1059.63	2125.26	2382.06	234.35	0.8961,1.0155,0.6501
no_mig	Round_2_Replicate_8	-2593.9	5193.8	186600.8	314.31	1.1868,0.4955,0.1579
no_mig	Round_2_Replicate_9	-1105.38	2216.76	2356.5	308.16	1.2798,0.3122,0.3741
no_mig	Round_2_Replicate_10	-641.64	1289.28	1011.82	504.87	0.2612,0.2025,0.2637
no_mig	Round_2_Replicate_11	-1032.53	2071.06	8267.74	412.7	0.3721,0.3055,0.769
no_mig	Round_2_Replicate_12	-1206.73	2419.46	3660.46	378.07	0.2381,0.5441,0.1727
no_mig	Round_2_Replicate_13	-1056.28	2118.56	2213.5	344.89	0.3031,0.6762,0.2695
no_mig	Round_2_Replicate_14	-2808.85	5623.7	272181.94	246.75	2.229,0.8496,0.2714
no_mig	Round_2_Replicate_15	-1703.38	3412.76	5998.02	367.5	2.4379,0.0818,0.1196
no_mig	Round_2_Replicate_16	-1175.4	2356.8	3834.09	347.43	0.7013,0.3783,0.2522
no_mig	Round_2_Replicate_17	-736.19	1478.38	1359.76	333.99	0.499,0.5062,0.5941
no_mig	Round_2_Replicate_18	-1530.64	3067.28	4469.2	334.0	2.2876,0.1266,0.2067
no_mig	Round_2_Replicate_19	-662.86	1331.72	1079.81	452.4	0.3356,0.2568,0.3369
no_mig	Round_2_Replicate_20	-1528.46	3062.92	12532.92	372.04	0.4513,0.398,0.1562
no_mig	Round_3_Replicate_1	-1054.41	2114.82	2172.96	319.51	0.2331,0.8828,0.443
no_mig	Round_3_Replicate_2	-628.64	1263.28	928.26	523.19	0.2222,0.1961,0.2347
no_mig	Round_3_Replicate_3	-763.5	1533.0	1032.1	454.38	0.2055,0.3177,0.2017
no_mig	Round_3_Replicate_4	-900.67	1807.34	1755.57	399.51	0.667,0.1912,0.2994
no_mig	Round_3_Replicate_5	-923.97	1853.94	1862.89	363.49	0.8236,0.227,0.3804
no_mig	Round_3_Replicate_6	-753.15	1512.3	1211.17	449.9	0.197,0.3706,0.3035
no_mig	Round_3_Replicate_7	-722.53	1451.06	1557.52	372.54	0.4577,0.3848,0.5579
no_mig	Round_3_Replicate_8	-742.87	1491.74	1455.43	354.68	0.5877,0.3621,0.5441
no_mig	Round_3_Replicate_9	-608.43	1222.86	820.79	646.03	0.1016,0.1023,0.1095
no_mig	Round_3_Replicate_10	-1068.56	2143.12	4210.51	287.18	0.3123,0.9078,0.7959
no_mig	Round_3_Replicate_11	-742.47	1490.94	1278.1	325.73	0.5711,0.496,0.5817
no_mig	Round_3_Replicate_12	-612.54	1231.08	877.0	677.6	0.0878,0.0751,0.0861
no_mig	Round_3_Replicate_13	-646.86	1299.72	1038.51	485.74	0.2597,0.2444,0.302
no_mig	Round_3_Replicate_14	-888.51	1783.02	2062.03	434.68	0.5488,0.1617,0.3221
no_mig	Round_3_Replicate_15	-688.59	1383.18	1097.3	559.74	0.2097,0.1137,0.142
no_mig	Round_3_Replicate_16	-774.78	1555.56	1159.4	536.51	0.1072,0.2393,0.1623
no_mig	Round_3_Replicate_17	-781.69	1569.38	1313.7	350.04	0.6692,0.3441,0.4557
no_mig	Round_3_Replicate_18	-785.97	1577.94	2188.53	457.61	0.2467,0.3261,0.4581
no_mig	Round_3_Replicate_19	-749.33	1504.66	1007.11	438.51	0.221,0.3612,0.2456
no_mig	Round_3_Replicate_20	-625.13	1256.26	845.38	562.95	0.177,0.145,0.1582
no_mig	Round_3_Replicate_21	-930.09	1866.18	2304.2	338.41	0.8887,0.2605,0.5361
no_mig	Round_3_Replicate_22	-610.98	1227.96	859.33	688.27	0.08,0.0791,0.0884
no_mig	Round_3_Replicate_23	-770.62	1547.24	1311.47	479.37	0.1637,0.3312,0.2736
no_mig	Round_3_Replicate_24	-790.57	1587.14	1792.2	283.97	0.7659,0.5481,0.8027
no_mig	Round_3_Replicate_25	-616.54	1239.08	838.84	564.82	0.1704,0.1576,0.1729
no_mig	Round_3_Replicate_26	-758.37	1522.74	1663.71	336.14	0.4437,0.5313,0.6406
no_mig	Round_3_Replicate_27	-810.19	1626.38	2020.84	299.35	0.7946,0.4454,0.7642
no_mig	Round_3_Replicate_28	-740.04	1486.08	1695.59	357.33	0.4441,0.445,0.6102
no_mig	Round_3_Replicate_29	-781.59	1569.18	1582.28	302.52	0.7526,0.474,0.6883
no_mig	Round_3_Replicate_30	-781.12	1568.24	1154.08	373.65	0.3026,0.5194,0.3778
no_mig	Round_4_Replicate_1	-608.51	1223.02	818.55	627.58	0.1149,0.1131,0.1214
no_mig	Round_4_Replicate_2	-609.51	1225.02	860.82	624.48	0.1246,0.1184,0.1355
no_mig	Round_4_Replicate_3	-607.8	1221.6	836.99	647.45	0.1045,0.1003,0.1109
no_mig	Round_4_Replicate_4	-608.29	1222.58	841.31	630.46	0.1175,0.1122,0.1252
no_mig	Round_4_Replicate_5	-611.02	1228.04	847.23	597.69	0.1433,0.1353,0.1519
no_mig	Round_4_Replicate_6	-609.91	1225.82	846.28	614.95	0.1283,0.1257,0.1402
no_mig	Round_4_Replicate_7	-609.29	1224.58	846.68	675.83	0.0859,0.0793,0.088
no_mig	Round_4_Replicate_8	-615.41	1236.82	779.19	612.19	0.1142,0.1211,0.1175
no_mig	Round_4_Replicate_9	-609.83	1225.66	847.05	686.26	0.0792,0.0759,0.0838
no_mig	Round_4_Replicate_10	-608.55	1223.1	822.37	667.54	0.0874,0.0853,0.0912
no_mig	Round_4_Replicate_11	-608.79	1223.58	848.35	669.52	0.0908,0.0838,0.0936
no_mig	Round_4_Replicate_12	-610.91	1227.82	843.47	598.74	0.1414,0.1352,0.1506
no_mig	Round_4_Replicate_13	-611.17	1228.34	814.99	685.4	0.0726,0.0716,0.0744
no_mig	Round_4_Replicate_14	-608.03	1222.06	827.83	660.46	0.0935,0.0908,0.0984
no_mig	Round_4_Replicate_15	-608.43	1222.86	823.51	665.3	0.0892,0.0859,0.0922
no_mig	Round_4_Replicate_16	-613.67	1233.34	862.11	581.75	0.158,0.1485,0.169
no_mig	Round_4_Replicate_17	-607.91	1221.82	837.41	658.24	0.097,0.0926,0.1022
no_mig	Round_4_Replicate_18	-609.66	1225.32	835.46	682.85	0.0795,0.0786,0.0851
no_mig	Round_4_Replicate_19	-608.16	1222.32	841.73	635.97	0.1143,0.105,0.1177
no_mig	Round_4_Replicate_20	-609.03	1224.06	826.7	619.46	0.124,0.1148,0.1257
no_mig	Round_4_Replicate_21	-608.18	1222.36	820.52	631.4	0.1129,0.1097,0.1183
no_mig	Round_4_Replicate_22	-609.96	1225.92	836.34	686.01	0.0775,0.0765,0.0828
no_mig	Round_4_Replicate_23	-611.7	1229.4	846.12	700.23	0.0691,0.0664,0.0722
no_mig	Round_4_Replicate_24	-608.22	1222.44	835.87	627.9	0.119,0.1116,0.1239
no_mig	Round_4_Replicate_25	-612.08	1230.16	856.88	595.54	0.1447,0.1401,0.158
no_mig	Round_4_Replicate_26	-611.21	1228.42	831.62	595.74	0.1414,0.1368,0.1495
no_mig	Round_4_Replicate_27	-609.17	1224.34	820.54	619.87	0.1204,0.1197,0.1286
no_mig	Round_4_Replicate_28	-609.49	1224.98	836.01	680.7	0.0806,0.0765,0.0831
no_mig	Round_4_Replicate_29	-610.05	1226.1	865.89	682.45	0.0849,0.0784,0.0893
no_mig	Round_4_Replicate_30	-609.14	1224.28	841.06	614.71	0.1296,0.1218,0.1361
no_mig	Round_4_Replicate_31	-612.12	1230.24	825.32	698.0	0.0666,0.0666,0.0699
no_mig	Round_4_Replicate_32	-608.76	1223.52	854.01	644.67	0.1087,0.1054,0.119
no_mig	Round_4_Replicate_33	-614.43	1234.86	891.75	647.68	0.1086,0.1111,0.1283
no_mig	Round_4_Replicate_34	-611.57	1229.14	855.4	610.4	0.1314,0.1317,0.1472
no_mig	Round_4_Replicate_35	-608.47	1222.94	812.23	631.65	0.1111,0.108,0.1148
