Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_1_Replicate_1	-1255.12	2522.24	6722.49	325.82	0.9499,1.1215,1.0503,0.165,0.3134,0.4689
no_mig_size	Round_1_Replicate_2	-2659.67	5331.34	408862.86	163.84	5.8633,0.1569,5.444,0.1741,0.1549,1.1114
no_mig_size	Round_1_Replicate_3	-4349.75	8711.5	1.46220071393e+11	188.71	0.5869,0.3435,1.2331,0.2536,4.2003,0.2404
no_mig_size	Round_1_Replicate_4	-1422.01	2856.02	11598.35	114.67	2.3367,3.5523,0.5063,3.1284,1.7392,1.0283
no_mig_size	Round_1_Replicate_5	-6159.61	12331.22	5.09215837393e+14	61.7	0.2667,0.5457,0.2455,7.2343,0.7748,5.5051
no_mig_size	Round_1_Replicate_6	-2093.7	4199.4	743974.86	84.18	0.8085,3.0827,6.1464,8.0102,4.8111,0.1218
no_mig_size	Round_1_Replicate_7	-1769.95	3551.9	229322.52	96.99	7.1777,3.5657,0.7765,2.1719,3.3603,2.917
no_mig_size	Round_1_Replicate_8	-1313.69	2639.38	7317.71	210.21	1.8511,4.4545,2.053,0.267,0.7111,0.7186
no_mig_size	Round_1_Replicate_9	-2025.29	4062.58	1616321.27	98.57	2.5453,1.7962,1.6543,0.8535,6.0161,1.5594
no_mig_size	Round_1_Replicate_10	-1604.72	3221.44	24728.17	67.9	1.9796,6.067,0.3149,5.8353,4.74,0.2107
no_mig_size	Round_2_Replicate_1	-848.34	1708.68	3068.45	264.38	0.5937,1.0714,0.9749,0.4392,0.8683,0.2494
no_mig_size	Round_2_Replicate_2	-854.93	1721.86	1664.67	220.37	2.1618,4.3479,1.0252,0.289,0.9532,0.2307
no_mig_size	Round_2_Replicate_3	-908.44	1828.88	1949.71	359.4	2.7106,0.3369,0.5394,0.1905,0.2912,0.1719
no_mig_size	Round_2_Replicate_4	-6944.78	13901.56	1.13896948437e+17	401.0	1.5052,0.5961,0.3247,0.0593,0.192,1.7202
no_mig_size	Round_2_Replicate_5	-1084.05	2180.1	6211.32	303.55	0.9816,2.3169,0.8846,0.227,0.5707,0.5499
no_mig_size	Round_2_Replicate_6	-919.77	1851.54	1985.11	295.39	1.9206,1.1813,1.0173,0.265,0.315,0.3745
no_mig_size	Round_2_Replicate_7	-1611.19	3234.38	60267.82	355.46	0.4064,0.2936,0.8084,0.1832,0.4205,0.5949
no_mig_size	Round_2_Replicate_8	-733.25	1478.5	1429.1	413.49	1.4859,0.3245,0.2981,0.19,0.3167,0.1298
no_mig_size	Round_2_Replicate_9	-1170.93	2353.86	8977.8	301.16	0.4901,1.0108,1.8444,0.1747,1.0323,0.1882
no_mig_size	Round_2_Replicate_10	-1105.6	2223.2	2487.12	219.73	2.571,2.9337,1.7116,0.621,0.1774,0.5849
no_mig_size	Round_2_Replicate_11	-2293.9	4599.8	183885.81	341.5	0.4256,1.302,1.4462,0.0789,0.3162,0.4889
no_mig_size	Round_2_Replicate_12	-1159.17	2330.34	2702.3	230.21	1.7361,0.5803,3.1221,0.281,0.6187,0.1915
no_mig_size	Round_2_Replicate_13	-918.72	1849.44	2650.72	395.32	0.8489,1.6282,0.5814,0.1141,0.4073,0.2036
no_mig_size	Round_2_Replicate_14	-780.44	1572.88	2452.24	434.8	0.4283,1.9879,0.3478,0.2675,0.1187,0.4531
no_mig_size	Round_2_Replicate_15	-2562.4	5136.8	10975353.36	347.13	0.4728,0.3462,0.4439,0.2115,0.2925,1.46
no_mig_size	Round_2_Replicate_16	-1129.11	2270.22	3449.79	177.42	2.2902,1.2275,2.484,0.6206,0.091,1.2195
no_mig_size	Round_2_Replicate_17	-1214.8	2441.6	6702.55	257.0	0.5221,0.6151,2.3089,0.3035,0.6054,0.4413
no_mig_size	Round_2_Replicate_18	-1656.67	3325.34	19381.51	443.19	0.2736,0.8489,0.8442,0.0811,0.1945,0.3287
