Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_1_Replicate_1	-1826.96	3665.92	24922.94	479.82	0.2685,0.4445,3.3237,0.6295,0.1418,6.1259
sec_contact_asym_mig	Round_1_Replicate_2	-3186.5	6385.0	231114.25	168.37	0.1546,2.6816,3.3246,1.081,0.1468,2.3217
sec_contact_asym_mig	Round_1_Replicate_3	-3444.66	6901.32	1831845.91	341.09	0.5102,0.5116,0.4813,4.0526,2.0643,0.8792
sec_contact_asym_mig	Round_1_Replicate_4	-2634.35	5280.7	35059.09	177.06	0.1819,5.6081,2.9994,0.1224,0.1367,0.3206
sec_contact_asym_mig	Round_1_Replicate_5	-2216.13	4444.26	71051.6	276.62	1.225,0.6177,1.1043,0.2853,0.1942,0.1657
sec_contact_asym_mig	Round_1_Replicate_6	-1939.47	3890.94	10500.03	135.04	1.6351,0.154,0.9496,0.4563,6.4548,0.6069
sec_contact_asym_mig	Round_1_Replicate_7	-2616.95	5245.9	130545.14	243.63	1.3738,0.1948,0.2341,5.2264,2.0669,0.5072
sec_contact_asym_mig	Round_1_Replicate_8	-1567.04	3146.08	7285.18	307.98	0.2477,0.7772,0.6081,0.8529,0.4294,1.6907
sec_contact_asym_mig	Round_1_Replicate_9	-1208.01	2428.02	2914.49	152.83	0.3658,0.6245,0.128,0.1216,6.0801,0.3075
sec_contact_asym_mig	Round_1_Replicate_10	-3370.55	6753.1	1296720.51	144.97	1.7243,2.1516,0.3045,1.5521,0.937,0.1818
sec_contact_asym_mig	Round_2_Replicate_1	-847.65	1707.3	1249.59	142.06	0.6809,1.0594,0.1098,0.2153,4.1854,1.03
sec_contact_asym_mig	Round_2_Replicate_2	-1529.67	3071.34	4507.58	121.2	0.1346,0.7651,0.3386,0.0827,9.0295,0.1839
sec_contact_asym_mig	Round_2_Replicate_3	-1834.59	3681.18	7968.41	252.23	0.2026,0.2298,0.0819,0.1381,3.8722,0.0976
sec_contact_asym_mig	Round_2_Replicate_4	-1518.77	3049.54	4056.49	69.75	0.6843,1.9213,0.0672,0.3258,13.5332,0.268
