Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_1_Replicate_1	-3196.34	6408.68	274418.44	138.6	2.0098,0.402,7.3796,0.2194,1.8354,0.1489,4.1558,0.459
sec_contact_asym_mig_size	Round_1_Replicate_2	-9007.63	18031.26	1.24225834912e+11	121.76	0.8531,0.1466,5.4196,1.0817,3.9551,5.6145,4.7079,0.4487
sec_contact_asym_mig_size	Round_1_Replicate_3	-1333.89	2683.78	3699.89	213.68	0.2107,0.2348,1.1843,0.3361,0.6833,0.7464,2.9792,0.5905
sec_contact_asym_mig_size	Round_1_Replicate_4	-1439.29	2894.58	4586.61	248.03	2.3743,4.6664,0.1866,0.9071,0.4185,0.6489,0.6829,0.3617
sec_contact_asym_mig_size	Round_1_Replicate_5	-2335.14	4686.28	52198.5	138.88	0.2088,1.0494,3.4948,0.3879,0.6832,0.7188,0.3079,5.399
sec_contact_asym_mig_size	Round_1_Replicate_6	-2527.91	5071.82	26355.71	105.01	0.2313,5.6031,3.9296,0.1695,0.7236,0.2101,8.0803,1.6852
sec_contact_asym_mig_size	Round_1_Replicate_7	-10935.24	21886.48	9.21364702845e+12	73.46	0.3672,0.1314,6.6994,5.1978,0.124,6.4063,8.1974,3.1086
sec_contact_asym_mig_size	Round_1_Replicate_8	-5876.04	11768.08	295894607.25	116.14	6.896,0.4073,0.8003,3.2432,1.9107,2.2247,0.1784,8.0676
sec_contact_asym_mig_size	Round_1_Replicate_9	-3458.0	6932.0	1439070.5	150.94	4.4727,0.7212,0.6162,1.0024,0.3905,2.3025,8.0647,1.4946
sec_contact_asym_mig_size	Round_1_Replicate_10	-3261.22	6538.44	222483.71	214.14	1.8604,1.3963,0.156,4.0825,2.5571,1.2865,0.255,0.2399
sec_contact_asym_mig_size	Round_2_Replicate_1	-1278.55	2573.1	3657.82	190.28	0.105,0.3459,1.4806,1.1495,0.4764,0.2314,1.3198,0.761
sec_contact_asym_mig_size	Round_2_Replicate_2	-2217.33	4450.66	17092.57	173.07	0.1398,0.6855,2.0719,0.9089,0.2355,1.1755,3.1846,0.3721
sec_contact_asym_mig_size	Round_2_Replicate_3	-3252.28	6520.56	1168398.41	114.44	0.4227,0.1697,1.3571,1.2835,2.141,0.2215,9.5795,0.9381
sec_contact_asym_mig_size	Round_2_Replicate_4	-1510.66	3037.32	5643.64	265.28	0.0731,0.3115,1.3198,0.0933,0.2364,2.3997,3.7384,0.1818
sec_contact_asym_mig_size	Round_2_Replicate_5	-2993.05	6002.1	109608.49	190.81	0.0945,0.1156,3.3129,0.1232,2.4034,0.3205,4.8175,0.3283
sec_contact_asym_mig_size	Round_2_Replicate_6	-987.95	1991.9	1791.71	305.08	0.2744,0.567,1.9501,0.3437,0.1654,0.5805,1.1037,0.165
sec_contact_asym_mig_size	Round_2_Replicate_7	-2085.13	4186.26	19931.18	238.29	0.1224,0.6501,1.2642,0.1221,1.2137,1.9899,4.901,1.5094
sec_contact_asym_mig_size	Round_2_Replicate_8	-2622.37	5260.74	99247.94	238.39	0.1317,0.7145,0.665,0.7529,1.5875,1.4809,1.8143,0.3614
sec_contact_asym_mig_size	Round_2_Replicate_9	-1380.51	2777.02	3743.94	143.56	0.8216,0.1653,3.0299,0.2302,0.3721,0.493,5.1522,0.5252
sec_contact_asym_mig_size	Round_2_Replicate_10	-2245.13	4506.26	17145.43	110.0	0.1385,0.605,3.8534,0.2341,0.8081,0.2744,8.4832,0.7528
sec_contact_asym_mig_size	Round_2_Replicate_11	-2395.64	4807.28	74882.81	142.62	0.4299,0.2598,0.7964,0.8196,0.2608,1.5595,6.6558,0.8894
sec_contact_asym_mig_size	Round_2_Replicate_12	-1146.52	2309.04	2502.83	366.71	0.0573,0.0647,0.6515,0.135,0.4927,1.448,1.9101,0.2104
sec_contact_asym_mig_size	Round_2_Replicate_13	-1159.05	2334.1	2463.82	417.54	0.3699,0.2071,0.8261,0.1324,1.0957,1.5003,0.8357,0.1365
sec_contact_asym_mig_size	Round_2_Replicate_14	-2148.04	4312.08	40128.92	198.52	0.1321,0.2278,0.6043,1.2182,1.1055,0.6725,2.0166,0.8651
sec_contact_asym_mig_size	Round_2_Replicate_15	-982.76	1981.52	1778.59	442.05	0.0677,0.4835,0.3041,0.1325,0.5329,2.4439,7.0659,1.1168
sec_contact_asym_mig_size	Round_2_Replicate_16	-2939.7	5895.4	337507.06	226.43	0.692,0.161,2.6829,0.4357,1.6429,0.2344,0.9507,1.0992
sec_contact_asym_mig_size	Round_2_Replicate_17	-1046.61	2109.22	1927.67	304.47	0.1139,0.2993,0.3315,0.6905,1.3707,0.3706,1.4078,0.378
sec_contact_asym_mig_size	Round_2_Replicate_18	-1784.84	3585.68	11982.58	198.12	0.2815,0.3012,0.4139,0.5019,0.3354,1.688,5.3371,0.7219
sec_contact_asym_mig_size	Round_2_Replicate_19	-1576.87	3169.74	3606.05	157.11	0.6275,0.3047,0.4714,0.6309,0.8954,0.996,5.8852,0.2106
sec_contact_asym_mig_size	Round_2_Replicate_20	-999.26	2014.52	2182.25	166.54	0.8177,0.1124,1.0542,0.1749,0.2457,1.1511,8.0204,1.0155
sec_contact_asym_mig_size	Round_3_Replicate_1	-918.81	1853.62	1796.26	738.37	0.1863,0.1649,0.1431,0.0759,0.1938,1.182,2.2278,1.4259
sec_contact_asym_mig_size	Round_3_Replicate_2	-1937.73	3891.46	8142.28	118.74	0.1354,1.2191,0.1383,0.3573,0.1559,1.2498,10.6484,0.3721
sec_contact_asym_mig_size	Round_3_Replicate_3	-1099.27	2214.54	2705.54	952.68	0.1952,1.2981,0.1798,0.1108,1.3603,3.2182,9.7894,1.9697
sec_contact_asym_mig_size	Round_3_Replicate_4	-1134.84	2285.68	2790.32	430.84	0.0524,0.4958,0.3607,0.1946,0.1568,2.4417,9.374,1.3011
sec_contact_asym_mig_size	Round_3_Replicate_5	-824.09	1664.18	1273.65	2222.0	0.1167,1.2339,0.1079,0.0339,0.6199,6.6175,10.3314,3.6032
sec_contact_asym_mig_size	Round_3_Replicate_6	-983.1	1982.2	1746.5	480.54	0.0269,0.5441,0.2512,0.2122,0.2052,1.6977,4.1528,1.3465
sec_contact_asym_mig_size	Round_3_Replicate_7	-1896.24	3808.48	8026.59	205.44	0.033,1.4942,0.1315,0.4471,0.3767,1.5955,4.541,0.3827
sec_contact_asym_mig_size	Round_3_Replicate_8	-1184.2	2384.4	2873.06	259.17	0.0228,0.217,0.7366,0.0402,0.4101,6.7197,12.3386,0.3268
sec_contact_asym_mig_size	Round_3_Replicate_9	-2610.96	5237.92	200755.05	683.4	0.0609,0.9832,0.2558,0.2649,1.2638,4.9353,15.9539,3.4235
sec_contact_asym_mig_size	Round_3_Replicate_10	-712.63	1441.26	1009.75	1158.14	0.0674,1.1437,0.1482,0.075,0.9141,1.9381,6.391,3.6447
sec_contact_asym_mig_size	Round_3_Replicate_11	-947.56	1911.12	1600.13	251.0	0.0268,0.3239,0.2674,0.236,0.234,1.0156,6.2679,0.9781
sec_contact_asym_mig_size	Round_3_Replicate_12	-2940.7	5897.4	422030.46	280.02	0.2607,0.8645,0.6393,0.3075,0.2741,4.8666,21.865,1.2047
sec_contact_asym_mig_size	Round_3_Replicate_13	-1508.69	3033.38	9239.48	296.94	0.0628,0.7521,0.6025,0.4732,0.1559,1.4317,7.9431,3.2844
sec_contact_asym_mig_size	Round_3_Replicate_14	-917.68	1851.36	1601.87	1171.81	0.1494,0.2142,0.1976,0.0665,0.5051,4.1988,8.624,1.7285
sec_contact_asym_mig_size	Round_3_Replicate_15	-1743.99	3503.98	11566.15	1219.4	0.0937,0.2168,0.074,0.2085,0.6123,4.097,12.2186,3.1942
sec_contact_asym_mig_size	Round_3_Replicate_16	-1172.69	2361.38	2229.5	226.16	0.1331,0.5572,0.1215,0.4582,1.7877,0.7808,5.1248,0.4589
sec_contact_asym_mig_size	Round_3_Replicate_17	-813.12	1642.24	1391.66	1205.48	0.1499,0.3846,0.2246,0.0454,0.1783,3.612,9.5086,3.0094
sec_contact_asym_mig_size	Round_3_Replicate_18	-881.98	1779.96	1706.93	341.04	0.2143,0.4426,0.3332,0.0609,0.2946,3.0718,6.0471,0.4205
sec_contact_asym_mig_size	Round_3_Replicate_19	-1778.69	3573.38	8745.96	504.33	0.058,0.4998,0.6714,0.0467,1.0486,5.9478,6.8778,2.3508
sec_contact_asym_mig_size	Round_3_Replicate_20	-2370.0	4756.0	32480.38	86.01	0.0242,0.6336,0.9736,0.3285,1.2533,1.773,15.5956,0.6149
sec_contact_asym_mig_size	Round_3_Replicate_21	-880.02	1776.04	1363.12	403.35	0.1802,0.2164,0.2824,0.1352,0.3343,2.094,8.5487,1.1261
sec_contact_asym_mig_size	Round_3_Replicate_22	-1621.37	3258.74	9528.07	629.22	0.1661,1.3548,0.1818,0.284,0.1411,2.7243,20.3163,1.9069
sec_contact_asym_mig_size	Round_3_Replicate_23	-1493.11	3002.22	6085.72	411.65	0.1371,0.6299,0.6504,0.112,0.5899,3.2756,13.9298,2.8149
sec_contact_asym_mig_size	Round_3_Replicate_24	-875.23	1766.46	1419.02	768.84	0.1176,0.2555,0.2936,0.1065,0.1853,2.6203,21.3939,2.636
sec_contact_asym_mig_size	Round_3_Replicate_25	-817.87	1651.74	1477.06	1089.61	0.0335,0.3921,0.0963,0.0323,0.9412,5.1614,2.13,0.3509
sec_contact_asym_mig_size	Round_3_Replicate_26	-1082.73	2181.46	2200.9	120.87	0.0517,1.9903,0.3106,0.1385,0.2266,1.3278,16.1229,0.5843
sec_contact_asym_mig_size	Round_3_Replicate_27	-3821.55	7659.1	4950774.41	272.84	0.08,0.1644,0.9108,0.4941,0.2188,4.3534,8.6126,1.1716
sec_contact_asym_mig_size	Round_3_Replicate_28	-960.95	1937.9	1883.26	1315.47	0.24,0.1425,0.1641,0.0614,2.0393,2.9298,4.1254,2.9821
sec_contact_asym_mig_size	Round_3_Replicate_29	-752.54	1521.08	1119.48	1105.57	0.2226,0.7564,0.1198,0.0737,0.3557,2.0127,14.579,2.3065
sec_contact_asym_mig_size	Round_3_Replicate_30	-1026.86	2069.72	2122.6	1087.25	0.196,0.1578,0.1405,0.1204,0.5262,3.3016,8.6065,1.7702
