Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_1	-4653.19	9324.38	7.19446850759e+11	106.28	0.2006,0.9031,0.2732,2.3474,1.1476,0.4552,1.0842,0.2177,5.0316
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_2	-761.3	1540.6	1146.26	276.69	0.6094,0.1739,0.5651,0.7129,0.6803,0.5947,0.1374,0.7887,0.3338
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_3	-1206.24	2430.48	10418.42	58.51	0.1356,0.2334,3.7769,4.3961,4.2798,0.1779,3.745,0.2134,4.4362
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_4	-1438.44	2894.88	46771.74	210.98	0.7401,2.4342,1.3828,0.4171,0.4896,2.2814,0.1962,0.1292,1.6879
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_5	-1780.98	3579.96	301926.08	236.91	1.2453,2.2185,0.3976,0.7954,3.2693,0.3231,0.1504,3.3895,1.9197
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_6	-3724.51	7467.02	594616.89	157.35	1.8594,0.2603,1.1255,6.0932,4.709,0.3548,0.9521,0.3286,0.1537
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_7	-1719.62	3457.24	76539.79	85.33	1.3541,4.7292,4.6107,0.7219,0.8437,2.9526,3.1027,0.2359,3.5627
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_8	-1111.48	2240.96	9328.9	45.95	0.5226,0.4679,6.0795,3.6859,0.1596,1.5163,0.2041,2.5133,6.8328
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_9	-3912.14	7842.28	2506520.41	98.51	0.2065,0.3113,1.3239,6.7905,5.4028,0.2767,0.2511,1.3426,0.2449
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_10	-1570.9	3159.8	49529.97	164.6	3.6846,0.6244,0.4264,1.2654,0.2865,0.2207,0.5815,3.1586,1.4543
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_1	-1298.25	2614.5	5975.16	163.82	0.2399,0.6741,0.4651,1.9913,0.7092,1.4309,0.3141,2.1277,1.0581
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_2	-815.12	1648.24	1154.36	305.29	0.3706,0.3786,0.3576,0.865,1.2248,0.3172,0.3322,0.2986,0.2258
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_3	-983.34	1984.68	2057.23	140.55	0.1665,0.051,1.7799,1.4,1.5895,0.3738,0.0985,2.0348,1.0312
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_4	-1171.6	2361.2	18344.11	335.3	1.491,0.2902,0.4884,0.4025,1.5494,0.2489,0.0697,0.2289,0.9674
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_5	-1347.21	2712.42	2925.33	286.02	0.9483,0.0469,0.1904,1.77,2.0619,0.4264,0.3161,0.3704,0.2892
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_6	-1291.15	2600.3	6228.11	194.05	2.4457,0.2239,0.4136,2.0015,0.2681,0.2128,0.1077,0.2033,0.8683
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_7	-864.53	1747.06	2276.99	138.46	0.2035,0.2958,1.5601,1.3612,0.2961,0.5061,0.2275,1.5744,1.2704
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_8	-1305.08	2628.16	4912.48	298.98	1.3755,0.0686,0.1845,1.1465,1.8881,0.1643,0.1763,1.0778,0.3679
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_9	-1207.13	2432.26	3713.73	215.34	1.5119,0.6714,0.6704,1.2056,1.1325,1.3015,0.1064,0.8219,0.2989
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_10	-774.52	1567.04	1093.29	289.09	1.8422,0.3189,0.5661,0.5468,1.0449,0.4729,0.0691,2.5113,0.1631
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_11	-1872.35	3762.7	12335.48	186.8	0.1502,0.4702,0.4496,2.5508,2.7545,2.112,0.3311,0.6712,0.2542
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_12	-1204.17	2426.34	9625.16	362.88	1.6308,0.329,0.2212,0.5361,0.4295,0.4044,0.3796,0.4144,0.4374
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_13	-1883.11	3784.22	293485.55	407.52	0.1669,0.3193,0.3691,0.2169,0.2664,0.6368,0.1133,0.8968,0.8365
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_14	-1350.57	2719.14	2462.59	201.76	2.1631,0.1241,0.2903,2.8042,0.7723,0.1816,0.3933,0.5921,0.2531
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_15	-1001.3	2020.6	1775.44	310.78	1.0615,0.054,0.5673,0.922,1.5945,0.6399,0.0953,0.2008,0.2013
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_16	-796.32	1610.64	1810.7	287.06	1.4143,0.6221,0.4765,0.7158,0.2153,0.3509,0.1973,0.2015,0.4759
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_17	-1274.68	2567.36	9091.82	327.77	0.1793,0.0512,0.2259,0.8293,0.1796,0.753,0.0413,0.3735,0.4727
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_18	-1042.19	2102.38	2469.71	314.51	0.4405,0.184,0.8144,0.4477,1.319,0.4318,0.0961,0.5667,0.1407
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_19	-834.18	1686.36	2699.28	450.51	2.2422,0.3582,0.3288,0.2585,0.2141,0.4338,0.0504,0.6802,0.1772
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_20	-795.83	1609.66	2408.82	456.55	2.1721,0.241,0.3013,0.2472,1.561,0.3543,0.4072,0.2163,0.2296
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_1	-1220.7	2459.4	2825.18	243.36	0.4501,0.5165,0.4223,1.264,0.5643,1.9225,0.1095,0.9691,0.3375
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_2	-1339.89	2697.78	39152.72	353.56	0.4479,0.4327,0.3616,0.4584,0.2399,1.9415,0.4844,0.9255,0.9616
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_3	-1391.92	2801.84	4536.04	272.97	0.595,0.0484,1.7203,0.4024,2.7272,0.2045,0.1328,0.307,0.4454
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_4	-1388.35	2794.7	3672.19	251.42	0.7595,0.51,2.0258,0.3148,2.3728,1.0964,0.4737,2.7658,0.3304
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_5	-764.33	1546.66	1115.01	360.82	0.4477,0.4305,0.572,0.306,0.7594,1.0048,0.1865,1.3816,0.1214
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_6	-767.93	1553.86	1192.55	361.28	2.1231,0.0851,0.3608,0.6269,1.6557,0.1681,0.0932,0.7094,0.2336
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_7	-1372.78	2763.56	4927.96	160.43	0.2921,0.2654,0.3281,2.1284,2.211,0.5112,0.0885,1.9469,0.7857
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_8	-684.7	1387.4	969.81	391.08	0.1719,0.3364,0.4921,0.357,0.655,0.2703,0.3211,0.3404,0.0952
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_9	-1229.61	2477.22	7363.68	187.0	0.3242,0.191,0.5087,1.7651,0.2177,0.1883,0.0459,0.2603,1.0893
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_10	-832.06	1682.12	2499.58	304.03	1.7662,0.0834,0.6497,0.3434,0.6114,0.3315,0.1913,2.5164,0.3676
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_11	-903.45	1824.9	2817.26	502.29	0.6796,0.0564,0.2281,0.2032,0.3344,0.2696,0.4865,0.2107,0.0731
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_12	-927.33	1872.66	1469.23	372.32	0.3315,0.2663,0.2726,0.6096,1.0998,1.0565,0.0934,0.248,0.1199
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_13	-897.91	1813.82	2468.82	164.76	0.2937,0.1426,1.7055,0.5725,0.3852,1.482,0.0298,3.1818,0.9976
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_14	-1463.24	2944.48	35778.76	287.75	0.2617,0.6327,0.9047,0.2413,0.9285,0.8229,0.4597,1.9107,0.9109
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_15	-1142.88	2303.76	9540.45	281.23	0.7258,0.0491,0.9778,0.3228,0.2856,1.8064,0.3053,0.2865,0.8485
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_16	-1385.13	2788.26	25103.54	476.57	2.1575,0.1149,0.2025,0.3072,0.7503,0.5043,0.0412,1.3611,0.4852
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_17	-1275.48	2568.96	3170.05	266.1	0.7195,0.0394,2.015,0.3971,0.1839,1.8617,0.0435,0.2004,0.2237
