Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_1_Replicate_1	-3513.53	7041.06	-2.24849265847e+14	78.01	5.4304,0.1637,0.5877,0.2535,2.3095,0.6177,4.9322
sec_contact_asym_mig_three_epoch	Round_1_Replicate_2	-1492.41	2998.82	10194.91	148.78	1.9595,1.4039,0.7432,4.9365,0.47,0.6679,0.6396
sec_contact_asym_mig_three_epoch	Round_1_Replicate_3	-1500.23	3014.46	3762.75	95.33	0.351,4.102,2.6254,0.1309,2.8932,1.6142,0.5351
sec_contact_asym_mig_three_epoch	Round_1_Replicate_4	-1080.99	2175.98	2522.55	297.09	0.2859,0.8204,0.4673,1.7466,1.0924,0.8962,0.3389
sec_contact_asym_mig_three_epoch	Round_1_Replicate_5	-1299.63	2613.26	5126.94	67.04	2.012,5.5998,1.2111,1.3672,0.8548,0.1793,3.0453
sec_contact_asym_mig_three_epoch	Round_1_Replicate_6	-3192.43	6398.86	665332.46	125.47	4.8966,1.2713,3.6795,1.1873,1.3394,1.341,0.2878
sec_contact_asym_mig_three_epoch	Round_1_Replicate_7	-1001.72	2017.44	4432.51	68.47	4.2507,2.1875,0.3832,0.148,2.2133,0.9554,3.1395
sec_contact_asym_mig_three_epoch	Round_1_Replicate_8	-2611.99	5237.98	241993.65	157.72	1.1542,1.5655,0.1543,3.6429,2.6955,0.5863,0.1879
sec_contact_asym_mig_three_epoch	Round_1_Replicate_9	-2626.28	5266.56	117171.48	134.38	1.4948,4.1013,0.1563,0.3808,0.2289,0.4079,0.1851
sec_contact_asym_mig_three_epoch	Round_1_Replicate_10	-2490.86	4995.72	13884472.57	109.82	2.5876,0.5838,3.6523,5.7026,0.2794,0.2311,5.1063
sec_contact_asym_mig_three_epoch	Round_2_Replicate_1	-1569.33	3152.66	18060.05	108.97	4.4774,0.6642,1.0778,0.04,1.2478,0.8018,1.8581
sec_contact_asym_mig_three_epoch	Round_2_Replicate_2	-1138.2	2290.4	2826.36	51.27	7.7795,0.9874,0.1228,0.447,8.4168,1.4444,1.3364
sec_contact_asym_mig_three_epoch	Round_2_Replicate_3	-1554.76	3123.52	8649.72	54.83	11.5842,1.6865,0.2034,0.062,0.6446,1.5661,3.2069
sec_contact_asym_mig_three_epoch	Round_2_Replicate_4	-1314.32	2642.64	30556.69	61.7	5.1637,2.1102,1.4971,0.1946,0.7697,0.3872,5.9578
sec_contact_asym_mig_three_epoch	Round_2_Replicate_5	-900.58	1815.16	1856.01	74.72	1.2534,3.3046,0.4492,0.1862,4.558,2.1352,1.6773
sec_contact_asym_mig_three_epoch	Round_2_Replicate_6	-2240.28	4494.56	286647.81	76.25	7.4759,0.606,0.611,0.0567,1.1763,1.6852,3.1038
sec_contact_asym_mig_three_epoch	Round_2_Replicate_7	-1808.71	3631.42	7203.76	65.42	12.1674,1.4461,0.4108,0.0359,0.6868,3.1895,0.9422
sec_contact_asym_mig_three_epoch	Round_2_Replicate_8	-2758.57	5531.14	33386929.91	51.69	6.943,0.9743,0.2264,0.16,2.532,0.3916,8.3893
sec_contact_asym_mig_three_epoch	Round_2_Replicate_9	-1503.34	3020.68	9512.46	68.07	6.4274,0.7643,0.1269,0.0641,3.3215,2.838,1.4614
sec_contact_asym_mig_three_epoch	Round_2_Replicate_10	-1440.78	2895.56	20782.81	44.88	9.8242,2.8151,0.245,0.401,0.5736,0.3695,6.7314
sec_contact_asym_mig_three_epoch	Round_2_Replicate_11	-1209.24	2432.48	5402.22	87.84	4.8784,1.3811,0.1579,0.0931,0.9433,0.8063,1.9185
sec_contact_asym_mig_three_epoch	Round_2_Replicate_12	-1210.4	2434.8	2574.54	61.11	1.6677,6.2917,1.0344,0.0677,3.6151,0.573,0.9445
sec_contact_asym_mig_three_epoch	Round_2_Replicate_13	-908.07	1830.14	2178.5	97.8	2.7642,1.504,0.6001,0.0922,2.1583,1.2804,1.5063
sec_contact_asym_mig_three_epoch	Round_2_Replicate_14	-1181.05	2376.1	17306.93	53.59	2.7071,4.4394,0.1917,0.0465,4.3159,0.3439,4.1454
sec_contact_asym_mig_three_epoch	Round_2_Replicate_15	-736.68	1487.36	1068.91	77.82	1.5181,2.1775,0.1845,0.2863,7.0516,1.5164,0.9432
sec_contact_asym_mig_three_epoch	Round_2_Replicate_16	-996.03	2006.06	5089.54	95.5	1.3196,2.4926,0.1592,0.0572,2.0381,1.3124,1.6495
sec_contact_asym_mig_three_epoch	Round_2_Replicate_17	-915.0	1844.0	1607.16	98.57	1.0772,2.8463,1.4787,0.0381,3.0412,1.3905,1.2431
sec_contact_asym_mig_three_epoch	Round_2_Replicate_18	-1662.86	3339.72	140531.02	86.45	1.7639,1.2574,0.2172,0.1734,5.4842,0.2818,3.5453
sec_contact_asym_mig_three_epoch	Round_2_Replicate_19	-1064.27	2142.54	3000.16	60.81	5.6444,0.8991,0.197,0.4776,8.3812,0.3005,1.0605
