Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_1_Replicate_1	-4366.48	8742.96	10419722.21	146.57	4.4784,0.9853,1.0295,0.1654,1.0261
sec_contact_sym_mig	Round_1_Replicate_2	-1667.85	3345.7	5022.13	161.02	0.2554,2.6746,0.1972,0.1562,1.486
sec_contact_sym_mig	Round_1_Replicate_3	-1825.76	3661.52	9073.74	185.0	0.3189,2.4413,0.3324,0.1218,0.9043
sec_contact_sym_mig	Round_1_Replicate_4	-8930.26	17870.52	2.18288868378e+11	88.26	4.4307,5.2688,1.5005,0.2608,1.1167
sec_contact_sym_mig	Round_1_Replicate_5	-5811.14	11632.28	217680181.81	272.98	0.2393,1.5645,5.8479,0.4288,0.2761
sec_contact_sym_mig	Round_1_Replicate_6	-2534.55	5079.1	150549.04	162.33	2.3606,1.3625,0.8065,0.8012,0.1445
sec_contact_sym_mig	Round_1_Replicate_7	-2121.5	4253.0	15009.47	90.43	4.6274,0.2455,0.7498,6.0351,0.4356
sec_contact_sym_mig	Round_1_Replicate_8	-2597.32	5204.64	81035.07	109.74	0.4468,3.1502,0.5476,2.3017,7.4012
sec_contact_sym_mig	Round_1_Replicate_9	-2437.52	4885.04	34515.29	202.7	0.6958,0.1307,2.9413,4.7488,0.2356
sec_contact_sym_mig	Round_1_Replicate_10	-4307.25	8624.5	8389269.89	302.77	0.2644,1.1243,3.4799,0.1975,0.182
sec_contact_sym_mig	Round_2_Replicate_1	-1406.78	2823.56	3788.96	195.28	0.3744,1.9822,0.2452,0.598,0.4347
sec_contact_sym_mig	Round_2_Replicate_2	-2310.33	4630.66	8601.42	130.69	0.1739,6.4504,0.0625,0.3273,0.6752
sec_contact_sym_mig	Round_2_Replicate_3	-2099.15	4208.3	9417.23	177.88	0.1006,2.7805,0.075,0.0585,1.1095
sec_contact_sym_mig	Round_2_Replicate_4	-1746.42	3502.84	5758.23	121.78	0.2093,3.3155,0.1002,0.2005,2.8508
sec_contact_sym_mig	Round_2_Replicate_5	-2730.37	5470.74	20144.09	83.5	0.1221,5.9701,0.2304,0.043,5.5952
sec_contact_sym_mig	Round_2_Replicate_6	-1939.47	3888.94	13479.68	182.11	0.3014,2.0948,0.4592,0.3367,1.3259
sec_contact_sym_mig	Round_2_Replicate_7	-1602.29	3214.58	4852.51	111.38	0.8936,4.9401,0.0584,0.0805,1.3878
sec_contact_sym_mig	Round_2_Replicate_8	-2353.76	4717.52	93398.67	164.14	0.8971,1.7825,0.5511,0.122,1.4789
sec_contact_sym_mig	Round_2_Replicate_9	-1500.21	3010.42	6093.18	142.41	0.7457,2.7209,0.1796,0.3555,1.2009
sec_contact_sym_mig	Round_2_Replicate_10	-2402.83	4815.66	64875.18	87.22	0.8986,4.3982,0.318,0.483,3.9137
sec_contact_sym_mig	Round_2_Replicate_11	-2730.82	5471.64	14819.13	162.62	0.1002,6.5135,0.2817,0.0751,0.5488
sec_contact_sym_mig	Round_2_Replicate_12	-1774.95	3559.9	4755.5	128.45	0.4149,5.0289,0.0841,0.3167,0.8672
sec_contact_sym_mig	Round_2_Replicate_13	-1965.44	3940.88	8094.3	113.65	0.1599,3.7429,0.0789,0.0457,3.1276
sec_contact_sym_mig	Round_2_Replicate_14	-1042.82	2095.64	1746.44	244.45	0.3709,1.288,0.1165,0.3583,0.4224
sec_contact_sym_mig	Round_2_Replicate_15	-2047.3	4104.6	20682.68	228.95	0.3429,2.0277,0.4633,0.0952,0.3845
sec_contact_sym_mig	Round_2_Replicate_16	-2150.88	4311.76	31985.09	105.59	0.9372,4.3171,0.2472,0.0599,2.0621
