Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-7116.09	14246.18	6106854954.37	56.62	0.2035,5.293,3.5471,3.5948,1.3368,6.6168,3.0223
sec_contact_sym_mig_size	Round_1_Replicate_2	-2054.21	4122.42	13122.49	164.57	4.2941,0.2108,1.1482,4.3066,0.2606,0.4307,0.4246
sec_contact_sym_mig_size	Round_1_Replicate_3	-749.1	1512.2	1237.01	148.78	2.6611,0.6743,0.514,0.4779,0.3956,4.4607,0.2411
sec_contact_sym_mig_size	Round_1_Replicate_4	-1963.72	3941.44	6461.29	118.17	0.5569,0.8098,4.7094,2.3294,0.6128,5.9576,0.1775
sec_contact_sym_mig_size	Round_1_Replicate_5	-5007.76	10029.52	54775882.81	66.14	2.5064,0.4832,4.0165,6.3608,0.4115,0.3236,2.4971
sec_contact_sym_mig_size	Round_1_Replicate_6	-2461.98	4937.96	63782.18	152.65	3.4024,0.6006,7.6479,0.5933,1.4204,1.3001,0.1263
sec_contact_sym_mig_size	Round_1_Replicate_7	-1820.09	3654.18	15713.98	288.32	0.2096,0.3547,1.1838,0.2159,1.0723,1.1457,1.1617
sec_contact_sym_mig_size	Round_1_Replicate_8	-751.48	1516.96	965.4	422.29	2.027,0.5146,0.2703,0.3283,0.5579,0.4031,2.603
sec_contact_sym_mig_size	Round_1_Replicate_9	-2446.91	4907.82	117191.84	259.66	0.9478,6.5965,3.3971,0.3969,0.5983,0.1909,0.1718
sec_contact_sym_mig_size	Round_1_Replicate_10	-7305.48	14624.96	2064519340.19	248.9	0.1321,1.1662,3.1125,1.1726,5.0445,0.5341,0.1337
sec_contact_sym_mig_size	Round_2_Replicate_1	-934.53	1883.06	1756.34	123.03	3.0685,0.3246,0.4068,0.7835,0.1236,7.4283,0.857
sec_contact_sym_mig_size	Round_2_Replicate_2	-1337.27	2688.54	6074.71	120.07	7.7786,1.2945,1.0075,0.1587,0.1173,5.6148,0.6317
