Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_1	-1029.17	2074.34	2928.46	201.65	0.1789,1.1825,1.1369,0.2185,1.5106,3.7684,0.187,0.3827
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_2	-2612.72	5241.44	36693.91	107.52	0.1599,6.9074,0.1607,5.6822,0.1235,0.33,1.2891,0.3979
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_3	-1228.81	2473.62	5924.33	212.03	0.2279,0.8369,0.9784,0.2346,0.1771,2.3474,1.8253,0.277
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_4	-1535.66	3087.32	25202.66	123.4	0.6344,4.1876,3.1335,0.499,1.8054,1.4257,2.5007,2.0709
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_5	-1221.5	2459.0	6658.23	402.58	4.0452,2.9546,0.1562,0.4713,0.5631,0.5261,8.0256,0.2821
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_6	-2263.39	4542.78	42444.86	64.12	4.3095,0.231,2.7585,5.628,3.3908,6.525,0.1755,0.7102
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_7	-2052.83	4121.66	104927.11	179.98	1.6746,2.982,0.9721,0.1874,0.1669,3.8139,2.0439,0.6965
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_8	-1167.68	2351.36	8448.44	209.72	0.2979,1.7759,0.444,1.1924,1.6096,0.5163,0.4129,1.1717
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_9	-4142.18	8300.36	74059111844.2	152.06	0.1732,0.3982,0.3439,1.0076,0.3817,0.8033,0.238,4.51
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_10	-1876.14	3768.28	139877.87	128.44	0.3837,0.26,0.5628,3.0635,0.2432,0.8133,0.1605,1.8062
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_1	-2088.24	4192.48	12444.45	102.77	0.4076,0.5428,2.6748,0.1718,2.0034,10.7819,0.3832,0.1348
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_2	-2593.75	5203.5	1242033.2	234.15	0.1696,0.4526,1.8015,0.114,0.5805,1.4205,0.3517,0.8008
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_3	-1835.66	3687.32	39561.71	217.59	0.3582,1.5208,2.3427,0.1958,0.7647,0.9893,0.1859,0.8144
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_4	-872.03	1760.06	2437.56	298.18	0.0477,0.7699,0.9043,0.3018,2.8169,1.1229,0.0992,0.5385
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_5	-1686.84	3389.68	27241.83	248.57	0.2474,0.462,1.0723,0.1544,1.4743,2.4405,0.2818,0.6623
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_6	-1362.66	2741.32	4404.23	80.1	0.0981,0.6099,4.5315,0.4337,0.8228,11.7069,0.2609,0.8705
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_7	-2785.91	5587.82	401336.69	206.91	0.1646,1.8669,3.3578,0.0865,0.9163,1.889,0.2486,0.5799
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_8	-2032.98	4081.96	10153.48	87.71	0.0758,0.9841,2.117,0.2874,0.5399,13.1476,0.0732,0.4166
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_9	-1287.82	2591.64	5011.13	200.99	0.2185,1.9756,0.5464,0.0885,2.5765,5.5176,0.1786,0.1228
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_10	-1493.67	3003.34	10458.4	241.8	0.1472,0.4707,1.0067,0.159,4.1773,4.5545,0.5148,0.5946
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_11	-1024.05	2064.1	2284.8	102.55	0.0545,1.3575,1.6829,0.3992,0.4853,10.0346,0.415,0.1764
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_12	-1394.08	2804.16	6002.61	138.66	0.1661,0.485,1.2144,0.1929,5.3661,7.866,0.0715,0.5564
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_13	-816.83	1649.66	1087.47	130.52	0.2488,0.6771,0.6527,0.7026,3.9224,7.6062,0.2264,0.4165
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_14	-1109.63	2235.26	2361.39	144.6	0.5041,0.5509,0.68,0.5715,1.4272,6.7237,0.6317,0.1432
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_15	-1096.89	2209.78	2192.62	159.68	0.6404,2.5067,2.7373,0.6097,3.4781,1.2681,0.224,0.7237
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_16	-1748.83	3513.66	9116.18	131.04	0.2068,1.7487,1.2044,0.0898,0.9603,9.0953,0.2748,0.1253
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_17	-1505.06	3026.12	4755.37	147.1	0.0736,1.8493,2.9151,0.2002,1.1666,6.0389,0.0871,0.2637
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_18	-1691.95	3399.9	7435.42	222.81	0.0631,4.289,0.9418,0.085,1.1873,4.0445,0.055,0.1928
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_19	-2786.35	5588.7	71163.17	88.48	0.4722,2.2834,2.9765,0.0957,2.9084,12.2965,0.158,0.5741
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_20	-1772.42	3560.84	8387.13	89.87	0.4961,3.2397,3.0711,0.1694,1.0158,11.6017,0.177,0.3966
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_1	-2196.45	4408.9	6954.23	50.92	0.7078,0.8938,1.7124,1.7098,2.4263,22.9656,0.114,0.1795
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_2	-813.01	1642.02	1802.5	78.23	0.5802,0.6453,1.0208,0.4851,2.8703,16.407,0.1695,0.657
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_3	-3886.19	7788.38	2886091.84	137.78	0.103,0.2517,1.4819,1.9225,6.0033,3.6123,0.531,0.1942
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_4	-1204.93	2425.86	2326.75	131.4	0.6123,0.1618,0.3649,2.2881,1.6106,5.5576,0.1077,0.4829
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_5	-1350.93	2717.86	8294.43	206.0	0.0749,1.3625,0.2988,0.4336,1.1366,5.5397,0.3729,0.7224
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_6	-991.23	1998.46	2287.31	178.56	0.3644,1.4018,0.3725,1.1717,12.7475,3.4774,0.317,0.8187
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_7	-1439.7	2895.4	3969.48	183.85	0.267,0.7935,0.2201,1.1896,6.4405,5.0877,0.5471,0.2404
