Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_1_Replicate_1	-3578.08	7168.16	851774217.53	116.74	0.2548,2.8395,4.261,0.493,1.1606,3.4444
sec_contact_sym_mig_three_epoch	Round_1_Replicate_2	-696.14	1404.28	897.81	352.7	0.4002,0.4588,1.0709,0.5397,0.2418,0.1826
sec_contact_sym_mig_three_epoch	Round_1_Replicate_3	-2066.37	4144.74	1375532.4	458.29	0.3658,0.2042,3.3771,1.664,2.5751,1.1698
sec_contact_sym_mig_three_epoch	Round_1_Replicate_4	-919.94	1851.88	3097.73	119.38	1.2747,1.9437,1.3768,0.258,1.4684,1.974
sec_contact_sym_mig_three_epoch	Round_1_Replicate_5	-943.36	1898.72	1842.1	127.52	1.8314,1.1071,0.4287,0.3356,3.8618,0.4242
sec_contact_sym_mig_three_epoch	Round_1_Replicate_6	-995.05	2002.1	1770.89	233.89	0.363,1.1176,0.9496,0.8392,0.4299,0.3457
sec_contact_sym_mig_three_epoch	Round_1_Replicate_7	-4990.02	9992.04	54406159.37	88.03	5.7015,4.2792,2.59,0.6982,0.3205,0.4372
sec_contact_sym_mig_three_epoch	Round_1_Replicate_8	-2507.13	5026.26	1929575.24	253.52	0.2174,0.4974,0.2023,0.4034,5.5673,1.1035
sec_contact_sym_mig_three_epoch	Round_1_Replicate_9	-995.12	2002.24	2138.79	82.8	3.0696,1.777,0.2817,1.736,3.9473,0.7045
sec_contact_sym_mig_three_epoch	Round_1_Replicate_10	-1569.66	3151.32	33235.91	301.16	0.1989,0.7156,0.1987,0.2136,1.0213,0.4935
sec_contact_sym_mig_three_epoch	Round_2_Replicate_1	-665.59	1343.18	1094.38	442.38	0.3137,0.3052,0.4158,0.1792,0.0952,0.151
sec_contact_sym_mig_three_epoch	Round_2_Replicate_2	-1228.47	2468.94	4299.34	479.02	0.3097,0.2587,3.6531,0.6681,0.431,0.0639
sec_contact_sym_mig_three_epoch	Round_2_Replicate_3	-999.47	2010.94	3232.63	268.98	1.1436,0.3318,0.7881,0.1992,0.5574,0.5494
sec_contact_sym_mig_three_epoch	Round_2_Replicate_4	-745.72	1503.44	1185.04	383.8	0.5454,0.2349,0.5665,0.5569,0.4182,0.0512
sec_contact_sym_mig_three_epoch	Round_2_Replicate_5	-1464.18	2940.36	3865.26	210.17	0.2668,1.727,2.5493,0.8897,0.0972,0.2137
sec_contact_sym_mig_three_epoch	Round_2_Replicate_6	-1784.35	3580.7	88711.69	334.84	0.1879,0.466,0.5602,1.3767,0.7974,0.7112
sec_contact_sym_mig_three_epoch	Round_2_Replicate_7	-818.52	1649.04	1786.32	518.67	0.1507,0.1419,1.0378,1.7784,0.5022,0.0856
sec_contact_sym_mig_three_epoch	Round_2_Replicate_8	-1226.23	2464.46	3692.92	228.95	1.3365,0.4056,0.9195,0.8619,0.9616,0.1402
sec_contact_sym_mig_three_epoch	Round_2_Replicate_9	-743.99	1499.98	1459.71	471.49	0.2418,0.182,0.9268,0.9783,0.2263,0.0902
sec_contact_sym_mig_three_epoch	Round_2_Replicate_10	-1375.61	2763.22	8401.95	236.04	0.2237,1.0697,0.4217,1.3043,0.1753,0.4034
sec_contact_sym_mig_three_epoch	Round_2_Replicate_11	-933.08	1878.16	1518.83	395.93	0.19,0.5291,3.7199,0.5273,0.0994,0.1849
sec_contact_sym_mig_three_epoch	Round_2_Replicate_12	-1055.4	2122.8	2127.83	285.04	1.3179,0.3016,0.9459,0.5201,0.0876,0.078
sec_contact_sym_mig_three_epoch	Round_2_Replicate_13	-1004.98	2021.96	2604.97	476.61	0.1375,0.1405,0.6553,1.577,0.3752,0.0607
sec_contact_sym_mig_three_epoch	Round_2_Replicate_14	-681.08	1374.16	1204.43	482.27	0.2371,0.2828,0.3004,0.1724,0.0913,0.1142
sec_contact_sym_mig_three_epoch	Round_2_Replicate_15	-1044.8	2101.6	2094.69	334.95	0.2112,0.7915,1.0219,0.2811,0.0568,0.1831
sec_contact_sym_mig_three_epoch	Round_2_Replicate_16	-784.04	1580.08	1139.77	257.19	0.7452,0.6911,0.6025,0.444,0.3602,0.2847
sec_contact_sym_mig_three_epoch	Round_2_Replicate_17	-767.27	1546.54	1745.46	302.8	0.634,0.3988,0.3173,1.036,0.1418,0.1432
sec_contact_sym_mig_three_epoch	Round_2_Replicate_18	-1418.44	2848.88	6242.94	210.61	0.2922,1.7816,1.2148,0.2735,0.0809,0.6501
sec_contact_sym_mig_three_epoch	Round_2_Replicate_19	-1293.88	2599.76	10681.1	330.55	0.2347,0.4297,2.5473,1.5235,0.0693,0.5723
sec_contact_sym_mig_three_epoch	Round_2_Replicate_20	-1667.63	3347.26	8835.66	289.32	0.245,1.1002,3.209,0.3741,0.1542,0.1218
sec_contact_sym_mig_three_epoch	Round_3_Replicate_1	-679.91	1371.82	1037.06	349.27	0.46,0.4498,0.2321,0.4941,0.1355,0.0877
sec_contact_sym_mig_three_epoch	Round_3_Replicate_2	-1090.27	2192.54	2037.41	315.64	0.2688,0.9032,1.1888,0.063,0.0812,0.2331
