Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-4500.03	9008.06	6163827.51	251.49	0.1597,2.8522,3.3851,6.4468
sym_mig	Round_1_Replicate_2	-2329.02	4666.04	14527.79	178.27	5.9741,0.1336,0.6131,1.4681
sym_mig	Round_1_Replicate_3	-4571.3	9150.6	7269616.75	266.59	0.1516,2.7538,3.6956,6.4399
sym_mig	Round_1_Replicate_4	-2552.11	5112.22	153888.8	417.89	0.4635,0.2914,2.5095,0.5362
sym_mig	Round_1_Replicate_5	-4362.94	8733.88	7856807.26	371.93	2.562,0.1528,5.2627,4.8791
sym_mig	Round_1_Replicate_6	-5204.43	10416.86	90928653.48	339.73	0.5495,0.4729,5.0765,0.9906
sym_mig	Round_1_Replicate_7	-1135.87	2279.74	3778.59	447.39	0.3086,0.2408,0.6199,0.1742
sym_mig	Round_1_Replicate_8	-5811.52	11631.04	254490503.94	291.0	3.7206,0.3661,4.2311,0.1987
sym_mig	Round_1_Replicate_9	-7919.11	15846.22	32361033367.3	176.03	3.1618,0.6511,5.5894,1.8232
sym_mig	Round_1_Replicate_10	-1364.66	2737.32	7297.14	282.15	0.6992,0.691,0.4285,0.586
sym_mig	Round_2_Replicate_1	-955.44	1918.88	1709.46	676.94	0.1653,0.1748,1.557,0.4974
sym_mig	Round_2_Replicate_2	-991.99	1991.98	1761.48	516.3	0.0969,0.2728,0.6284,0.1506
sym_mig	Round_2_Replicate_3	-807.36	1622.72	1275.65	393.51	0.5657,0.261,0.1437,0.3367
sym_mig	Round_2_Replicate_4	-833.4	1674.8	1189.22	694.35	0.091,0.1376,1.5078,0.1805
sym_mig	Round_2_Replicate_5	-1427.76	2863.52	7486.93	400.74	0.2334,0.4561,0.7237,0.1946
sym_mig	Round_2_Replicate_6	-1853.21	3714.42	10837.5	455.1	0.063,0.3743,1.9089,0.0877
sym_mig	Round_2_Replicate_7	-618.74	1245.48	773.63	572.31	0.2157,0.1834,0.4458,0.3871
sym_mig	Round_2_Replicate_8	-2209.2	4426.4	77634.28	363.06	0.3636,0.507,0.5765,0.1332
sym_mig	Round_2_Replicate_9	-1327.84	2663.68	3988.83	442.29	0.7067,0.1006,0.8796,0.5311
sym_mig	Round_2_Replicate_10	-1661.83	3331.66	14367.61	468.21	0.2457,0.2858,1.84,0.2579
sym_mig	Round_2_Replicate_11	-1241.35	2490.7	3195.93	373.93	1.0778,0.1219,0.1654,0.3076
