Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_1_Replicate_1	-4607.5	9229.0	20701191.06	300.94	0.4425,0.7825,0.3893,0.8036,3.6328,0.2562,1.4564
sym_mig_size	Round_1_Replicate_2	-4430.61	8875.22	6582938.76	227.13	0.1953,1.9913,0.2275,2.9391,2.5956,1.4354,0.2344
sym_mig_size	Round_1_Replicate_3	-2352.86	4719.72	84210.35	167.66	7.686,1.0466,0.4292,0.5157,1.7102,5.2916,0.3912
sym_mig_size	Round_1_Replicate_4	-3611.36	7236.72	1736419.91	97.22	1.8393,1.9743,5.7486,1.0916,0.6697,0.7644,2.756
sym_mig_size	Round_1_Replicate_5	-7226.1	14466.2	9852536061.93	81.97	0.4669,0.7109,4.131,2.4286,1.5505,0.4113,3.4939
sym_mig_size	Round_1_Replicate_6	-827.37	1668.74	1582.48	481.74	0.7759,1.137,0.1977,0.1624,0.3151,1.0792,0.7836
sym_mig_size	Round_1_Replicate_7	-6089.47	12192.94	749181958.23	197.44	0.566,4.0852,1.9697,0.822,2.9167,0.8443,0.191
sym_mig_size	Round_1_Replicate_8	-2755.42	5524.84	97706.11	200.98	5.1133,3.3259,4.0221,0.1855,1.3787,0.2424,2.6469
sym_mig_size	Round_1_Replicate_9	-1319.65	2653.3	4347.27	265.88	1.1902,0.1892,1.5481,0.3318,0.4216,0.377,0.526
sym_mig_size	Round_1_Replicate_10	-3308.86	6631.72	1174376.17	121.69	0.9058,7.8393,7.7768,0.5249,1.1012,3.5383,0.2059
sym_mig_size	Round_2_Replicate_1	-739.77	1493.54	945.39	743.63	0.7707,2.9849,0.143,0.1763,0.9925,1.9307,2.2579
sym_mig_size	Round_2_Replicate_2	-847.17	1708.34	1729.0	460.64	0.6591,0.3116,0.3301,0.1172,0.7574,2.9222,0.2795
sym_mig_size	Round_2_Replicate_3	-842.26	1698.52	1445.66	836.15	0.2921,0.5549,0.0779,0.1428,0.6663,1.0267,1.9704
sym_mig_size	Round_2_Replicate_4	-1268.63	2551.26	3521.04	293.3	0.2675,4.66,0.114,0.3174,0.1748,3.5488,0.8165
sym_mig_size	Round_2_Replicate_5	-1002.4	2018.8	1774.76	417.2	0.3775,0.4298,0.1977,0.4365,0.7067,3.1494,1.7835
sym_mig_size	Round_2_Replicate_6	-1124.39	2262.78	2903.13	662.18	0.6045,0.9267,0.1211,0.1004,0.2708,0.4484,0.5467
sym_mig_size	Round_2_Replicate_7	-1193.48	2400.96	3667.03	438.32	0.5393,1.4026,0.0823,0.1465,0.1242,1.3839,0.1904
sym_mig_size	Round_2_Replicate_8	-1147.31	2308.62	2750.05	433.79	0.807,0.4621,0.0785,0.3341,0.3931,2.7282,1.0469
sym_mig_size	Round_2_Replicate_9	-1214.64	2443.28	4039.32	416.43	2.7492,2.4804,0.5981,0.0756,0.3831,0.3311,0.5071
sym_mig_size	Round_2_Replicate_10	-1660.41	3334.82	8595.98	504.52	0.3489,0.5866,0.0741,0.2403,0.0762,0.3045,1.0079
sym_mig_size	Round_2_Replicate_11	-1619.55	3253.1	9071.51	282.67	2.6416,1.4598,0.4689,0.0588,0.1128,1.8972,0.2961
