Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m1, m2, T1, T2)
sym_mig_twoepoch	Round_1_Replicate_1	-2990.28	5992.56	361387.27	67.76	1.5547,5.7323,1.3687,0.3206,0.3627,4.6794
sym_mig_twoepoch	Round_1_Replicate_2	-4507.25	9026.5	16706065.29	111.13	1.089,2.2666,0.5351,1.2444,0.1319,6.6368
sym_mig_twoepoch	Round_1_Replicate_3	-2038.73	4089.46	35265.12	543.27	0.2338,0.2228,1.7671,3.0501,0.2106,0.1817
sym_mig_twoepoch	Round_1_Replicate_4	-10528.91	21069.82	4.25301330348e+12	126.42	2.6967,4.559,1.4586,4.1074,0.4641,0.2823
sym_mig_twoepoch	Round_1_Replicate_5	-9176.55	18365.1	4.77665634509e+11	68.69	3.5944,3.8484,2.3948,2.5489,0.1943,4.0057
sym_mig_twoepoch	Round_1_Replicate_6	-8084.32	16180.64	21718924791.1	149.05	5.3679,4.6341,3.7557,0.1682,0.2239,0.1805
sym_mig_twoepoch	Round_1_Replicate_7	-870.84	1753.68	1984.63	145.05	1.4699,0.3748,1.0058,0.1218,1.9428,7.8392
sym_mig_twoepoch	Round_1_Replicate_8	-1145.44	2302.88	2562.96	619.51	0.1327,0.2532,0.5771,1.5577,0.6691,0.3623
sym_mig_twoepoch	Round_1_Replicate_9	-2429.52	4871.04	16560.95	99.33	0.2289,5.4652,0.3555,0.2658,2.4537,0.9765
sym_mig_twoepoch	Round_1_Replicate_10	-2176.46	4364.92	57712.43	473.24	0.3569,0.2891,0.1214,2.3093,0.5842,1.2144
sym_mig_twoepoch	Round_2_Replicate_1	-768.82	1549.64	1019.45	218.35	0.4176,0.696,0.519,0.2567,1.2819,9.9881
sym_mig_twoepoch	Round_2_Replicate_2	-1079.35	2170.7	3182.57	258.78	0.5271,0.1523,0.4796,0.165,3.0373,17.001
sym_mig_twoepoch	Round_2_Replicate_3	-988.73	1989.46	2126.91	166.25	0.4273,0.5119,0.3147,0.0897,4.9212,12.2552
sym_mig_twoepoch	Round_2_Replicate_4	-1407.89	2827.78	5387.94	168.84	2.2287,0.2092,0.4747,0.0355,1.1624,2.1044
sym_mig_twoepoch	Round_2_Replicate_5	-1528.59	3069.18	6150.03	145.72	2.6548,0.1615,0.7995,0.1053,3.7548,3.1022
sym_mig_twoepoch	Round_2_Replicate_6	-771.59	1555.18	1455.31	346.14	0.5199,0.1919,3.8419,0.3636,0.5153,23.8641
sym_mig_twoepoch	Round_2_Replicate_7	-1866.23	3744.46	10536.34	90.61	4.7727,0.3764,0.452,0.3023,4.1706,20.8484
sym_mig_twoepoch	Round_2_Replicate_8	-699.9	1411.8	1130.78	72.31	2.802,1.2804,0.3453,0.0397,2.7275,9.6696
sym_mig_twoepoch	Round_2_Replicate_9	-1685.26	3382.52	9069.62	87.63	3.355,0.1731,0.3967,0.0872,4.3249,13.3845
sym_mig_twoepoch	Round_2_Replicate_10	-919.42	1850.84	2347.76	211.16	0.8775,0.2177,0.8396,0.1887,1.3393,27.2859
sym_mig_twoepoch	Round_2_Replicate_11	-846.31	1704.62	1927.62	172.65	0.899,0.3168,0.9977,0.1368,0.9445,24.5311
sym_mig_twoepoch	Round_2_Replicate_12	-1309.43	2630.86	4059.79	202.98	1.5952,0.1693,0.5769,0.2947,0.7809,4.0648
sym_mig_twoepoch	Round_2_Replicate_13	-805.89	1623.78	1682.85	184.11	0.8981,0.5584,0.8221,0.0446,1.2208,3.3129
sym_mig_twoepoch	Round_2_Replicate_14	-860.94	1733.88	1877.8	108.43	2.2006,0.5524,3.0838,0.0722,0.6068,8.0509
sym_mig_twoepoch	Round_2_Replicate_15	-1100.19	2212.38	2640.82	150.14	1.7403,0.3858,1.3953,0.2701,0.9533,13.7686
sym_mig_twoepoch	Round_2_Replicate_16	-1038.0	2088.0	2887.63	167.16	1.5944,0.3101,0.6887,0.0526,1.206,3.3779
sym_mig_twoepoch	Round_2_Replicate_17	-699.49	1410.98	919.26	130.47	1.5562,0.9107,0.397,0.1072,5.1974,2.1231
sym_mig_twoepoch	Round_2_Replicate_18	-914.34	1840.68	2287.52	233.01	0.7709,0.2166,0.2876,0.1509,1.2412,4.7162
sym_mig_twoepoch	Round_2_Replicate_19	-1719.95	3451.9	9196.23	131.41	2.6047,0.1274,1.0184,0.0674,0.7033,5.2595
sym_mig_twoepoch	Round_2_Replicate_20	-875.34	1762.68	2053.31	350.87	0.4807,0.1597,0.8482,0.2162,0.9182,3.039
sym_mig_twoepoch	Round_3_Replicate_1	-976.57	1965.14	1991.83	75.88	2.1368,1.7924,0.1432,0.1394,12.2835,3.994
sym_mig_twoepoch	Round_3_Replicate_2	-750.38	1512.76	1250.06	165.33	1.3874,0.5007,0.2163,0.1288,1.4588,3.2473
sym_mig_twoepoch	Round_3_Replicate_3	-1054.87	2121.74	3166.01	108.44	1.9633,0.3508,0.123,0.0785,29.0589,3.8881
sym_mig_twoepoch	Round_3_Replicate_4	-728.96	1469.92	1226.38	302.51	0.3834,0.4009,0.3215,0.1045,4.8435,0.5999
sym_mig_twoepoch	Round_3_Replicate_5	-1358.53	2729.06	5718.44	68.67	4.0367,1.3618,0.8008,0.1641,10.286,6.1834
sym_mig_twoepoch	Round_3_Replicate_6	-1481.56	2975.12	5036.86	126.67	2.8289,0.274,0.8977,0.2561,1.8999,7.8447
sym_mig_twoepoch	Round_3_Replicate_7	-872.19	1756.38	1513.07	83.72	2.5966,1.2347,0.2931,0.1169,14.9989,3.6982
sym_mig_twoepoch	Round_3_Replicate_8	-1160.26	2332.52	2714.9	129.08	0.9915,2.4786,0.3278,0.049,1.6294,0.6075
sym_mig_twoepoch	Round_3_Replicate_9	-1078.97	2169.94	3009.64	82.63	2.7536,2.3602,0.2388,0.0922,1.8599,3.0971
sym_mig_twoepoch	Round_3_Replicate_10	-684.8	1381.6	841.59	153.42	0.7596,1.0749,1.1139,0.1043,2.028,3.9457
sym_mig_twoepoch	Round_3_Replicate_11	-1171.07	2354.14	3826.82	85.8	3.0905,1.4274,1.0656,0.122,7.6068,1.7669
sym_mig_twoepoch	Round_3_Replicate_12	-1000.97	2013.94	2767.46	189.77	1.0249,0.2428,0.2127,0.0992,1.834,4.3948
sym_mig_twoepoch	Round_3_Replicate_13	-841.1	1694.2	1424.3	120.65	1.9736,0.7338,0.4562,0.1457,1.3057,5.7903
sym_mig_twoepoch	Round_3_Replicate_14	-790.38	1592.76	1499.53	218.72	1.0938,0.3371,0.6431,0.1266,1.643,2.131
sym_mig_twoepoch	Round_3_Replicate_15	-887.11	1786.22	1603.13	171.7	1.6516,0.4693,0.3044,0.1397,3.3374,0.6396
sym_mig_twoepoch	Round_3_Replicate_16	-814.69	1641.38	1222.8	84.11	1.9866,1.5504,0.3316,0.1181,3.0787,9.5435
sym_mig_twoepoch	Round_3_Replicate_17	-662.11	1336.22	804.02	139.19	0.9001,1.2039,0.4458,0.0632,27.3002,1.7035
sym_mig_twoepoch	Round_3_Replicate_18	-765.82	1543.64	1149.12	126.74	0.6193,1.072,0.1098,0.1035,8.4831,7.1109
sym_mig_twoepoch	Round_3_Replicate_19	-1037.38	2086.76	2295.6	184.93	1.3338,0.381,0.4548,0.3292,3.881,4.8203
sym_mig_twoepoch	Round_3_Replicate_20	-2649.96	5311.92	233785.24	72.04	2.7868,2.4178,0.5798,0.3204,8.3457,0.829
sym_mig_twoepoch	Round_3_Replicate_21	-630.82	1273.64	750.86	90.8	1.6566,1.5481,0.2028,0.0245,22.1849,1.1053
sym_mig_twoepoch	Round_3_Replicate_22	-835.62	1683.24	1424.51	240.87	1.1352,0.3545,1.3519,0.1671,21.914,0.8886
sym_mig_twoepoch	Round_3_Replicate_23	-1636.27	3284.54	6469.61	116.59	3.1073,0.2613,0.0902,0.2917,10.9333,10.5088
sym_mig_twoepoch	Round_3_Replicate_24	-1948.08	3908.16	35794.98	73.99	3.053,2.1188,1.0253,0.2454,5.0775,3.5036
sym_mig_twoepoch	Round_3_Replicate_25	-931.49	1874.98	1932.65	123.28	1.9839,0.4999,0.7246,0.1617,7.3724,7.7981
sym_mig_twoepoch	Round_3_Replicate_26	-936.26	1884.52	1561.51	124.16	0.5287,1.724,0.784,0.1076,2.4536,5.539
sym_mig_twoepoch	Round_3_Replicate_27	-950.34	1912.68	1913.24	121.87	2.0067,1.0788,0.1826,0.1579,2.0302,2.3663
sym_mig_twoepoch	Round_3_Replicate_28	-1922.89	3857.78	27480.81	74.31	3.9438,1.2629,0.5055,0.2817,8.7103,5.3832
sym_mig_twoepoch	Round_3_Replicate_29	-1195.85	2403.7	4170.99	142.76	2.0324,1.05,0.823,0.0669,2.0951,0.5916
sym_mig_twoepoch	Round_3_Replicate_30	-1105.13	2222.26	2247.78	114.45	3.9254,0.6081,0.4681,0.0474,1.6295,1.9962
sym_mig_twoepoch	Round_4_Replicate_1	-712.44	1436.88	959.63	108.1	0.8622,1.3459,0.1236,0.0827,21.7006,1.6109
sym_mig_twoepoch	Round_4_Replicate_2	-628.39	1268.78	731.46	97.58	1.3882,1.4701,0.1753,0.039,18.7262,1.0013
sym_mig_twoepoch	Round_4_Replicate_3	-655.09	1322.18	789.33	61.6	2.5369,2.4043,0.1505,0.0117,19.6894,1.4993
sym_mig_twoepoch	Round_4_Replicate_4	-625.41	1262.82	840.18	92.03	1.6999,1.2134,0.1375,0.0426,29.8935,1.2903
sym_mig_twoepoch	Round_4_Replicate_5	-624.45	1260.9	800.44	70.71	2.158,1.77,0.11,0.0173,22.1614,1.0178
sym_mig_twoepoch	Round_4_Replicate_6	-741.03	1494.06	1339.69	96.5	2.0117,0.7723,0.1279,0.0694,24.4267,1.8452
sym_mig_twoepoch	Round_4_Replicate_7	-730.07	1472.14	960.51	115.0	0.8204,1.4347,0.1786,0.0871,26.7539,1.8121
sym_mig_twoepoch	Round_4_Replicate_8	-619.55	1251.1	767.16	131.97	1.0306,0.9832,0.1993,0.0463,22.1294,0.6022
sym_mig_twoepoch	Round_4_Replicate_9	-647.27	1306.54	956.77	109.16	1.3619,0.9547,0.1217,0.05,15.1367,0.9928
sym_mig_twoepoch	Round_4_Replicate_10	-688.45	1388.9	1140.93	105.55	1.7212,0.8209,0.1409,0.0369,22.857,0.6727
sym_mig_twoepoch	Round_4_Replicate_11	-636.08	1284.16	779.39	108.1	1.4172,1.3768,0.2669,0.026,10.6148,1.1994
sym_mig_twoepoch	Round_4_Replicate_12	-838.28	1688.56	1706.79	110.89	0.825,1.6656,0.2185,0.0129,27.7263,1.2877
sym_mig_twoepoch	Round_4_Replicate_13	-640.64	1293.28	780.15	106.21	1.2558,1.4424,0.2739,0.0481,22.0227,2.1428
