Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
sec_contact_sym_mig_three_epoch	Round_4_Replicate_22	-632.92	1277.84	912.42	513.37	0.2505,0.2071,0.7851,0.1383,0.0576,0.095	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_9	-637.84	1287.68	889.86	486.23	0.2584,0.2497,0.3913,0.1358,0.098,0.0854	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_27	-641.23	1294.46	990.86	493.1	0.2624,0.2291,0.3198,0.1102,0.0494,0.1357	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_28	-643.53	1299.06	890.54	449.95	0.3176,0.2856,0.8356,0.2721,0.063,0.0958	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_37	-648.03	1308.06	998.45	471.81	0.2853,0.2523,0.1964,0.1132,0.0442,0.1555	
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_37	-654.18	1326.36	927.67	475.57	0.2114,0.2801,0.3164,0.2603,1.0603,0.2165,0.1801,0.2088,0.0776	
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_7	-655.88	1329.76	912.92	427.95	0.3411,0.331,0.323,0.3349,0.674,0.3515,0.1913,0.1942,0.1117	
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_33	-658.4	1334.8	854.77	405.9	0.195,0.2345,0.3141,0.4082,1.0686,0.284,0.4549,0.6576,0.1026	
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_34	-672.59	1363.18	925.36	362.74	0.161,0.4681,0.4861,0.3768,0.6787,0.4249,0.5213,0.4436,0.1202	
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_24	-679.04	1376.08	980.31	394.0	0.3065,0.1554,0.4338,0.3539,0.3681,0.3109,0.5503,0.3544,0.0451	
anc_sym_mig_size	Round_4_Replicate_30	-593.74	1201.48	804.77	427.13	1.2332,3.5572,0.1255,0.1299,8.1793,0.7315,0.1296	
anc_sym_mig_size	Round_4_Replicate_20	-598.13	1210.26	814.77	367.49	0.7545,3.9495,0.1789,0.1658,8.957,1.4146,0.1744	
anc_sym_mig_size	Round_4_Replicate_21	-599.18	1212.36	839.06	425.28	0.8217,3.6002,0.1706,0.1546,12.055,0.7514,0.1671	
